inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.3,0.05,1.0,11,6,TIMEOUT,0,8,0
off,0.3,0.05,1.0,11,7,TIMEOUT,0,9,0
off,0.3,0.05,1.0,12,0,TIMEOUT,0,2,1
off,0.3,0.05,1.0,12,1,TIMEOUT,0,3,0
off,0.3,0.05,1.0,12,2,TIMEOUT,0,4,1
off,0.3,0.05,1.0,12,3,PARTNER_RESCUED,1,5,0
off,0.3,0.05,1.0,12,4,TIMEOUT,0,6,0
off,0.3,0.05,1.0,12,5,TIMEOUT,0,7,0
off,0.3,0.05,1.0,12,6,TIMEOUT,0,8,0
off,0.3,0.05,1.0,12,7,PARTNER_RESCUED,1,9,0
off,0.3,0.05,1.0,13,0,PARTNER_RESCUED,1,2,0
off,0.3,0.05,1.0,13,1,TIMEOUT,0,3,2
off,0.3,0.05,1.0,13,2,TIMEOUT,0,4,0
off,0.3,0.05,1.0,13,3,PARTNER_RESCUED,1,5,0
off,0.3,0.05,1.0,13,4,TIMEOUT,0,6,1
off,0.3,0.05,1.0,13,5,TIMEOUT,0,7,2
off,0.3,0.05,1.0,13,6,TIMEOUT,0,8,0
off,0.3,0.05,1.0,13,7,TIMEOUT,0,9,0
off,0.3,0.05,1.0,14,0,PARTNER_RESCUED,1,2,0
off,0.3,0.05,1.0,14,1,TIMEOUT,0,3,1
off,0.3,0.05,1.0,14,2,TIMEOUT,0,4,0
off,0.3,0.05,1.0,14,3,PARTNER_RESCUED,1,5,0
off,0.3,0.05,1.0,14,4,PARTNER_DEAD,0,6,1
off,0.3,0.05,1.0,14,5,TIMEOUT,0,7,0
off,0.3,0.05,1.0,14,6,TIMEOUT,0,8,0
off,0.3,0.05,1.0,14,7,PARTNER_RESCUED,1,9,0
off,0.3,0.05,1.0,15,0,PARTNER_RESCUED,1,2,0
off,0.3,0.05,1.0,15,1,TIMEOUT,0,3,0
off,0.3,0.05,1.0,15,2,TIMEOUT,0,4,1
off,0.3,0.05,1.0,15,3,TIMEOUT,0,5,1
off,0.3,0.05,1.0,15,4,PARTNER_RESCUED,1,6,0
off,0.3,0.05,1.0,15,5,PARTNER_RESCUED,1,7,0
off,0.3,0.05,1.0,15,6,TIMEOUT,0,8,1
off,0.3,0.05,1.0,15,7,TIMEOUT,0,9,1
off,0.3,0.05,1.0,16,0,TIMEOUT,0,2,0
off,0.3,0.05,1.0,16,1,PARTNER_RESCUED,1,3,0
off,0.3,0.05,1.0,16,2,PARTNER_RESCUED,1,4,0
off,0.3,0.05,1.0,16,3,PARTNER_RESCUED,1,5,0
off,0.3,0.05,1.0,16,4,TIMEOUT,0,6,2
off,0.3,0.05,1.0,16,5,TIMEOUT,0,7,0
off,0.3,0.05,1.0,16,6,PARTNER_RESCUED,1,8,0
off,0.3,0.05,1.0,16,7,PARTNER_RESCUED,1,9,0
off,0.3,0.05,1.0,17,0,PARTNER_RESCUED,1,2,0
off,0.3,0.05,1.0,17,1,TIMEOUT,0,3,1
off,0.3,0.05,1.0,17,2,TIMEOUT,0,4,2
off,0.3,0.05,1.0,17,3,TIMEOUT,0,5,1
off,0.3,0.05,1.0,17,4,TIMEOUT,0,6,0
off,0.3,0.05,1.0,17,5,TIMEOUT,0,7,1
off,0.3,0.05,1.0,17,6,PARTNER_RESCUED,1,8,0
off,0.3,0.05,1.0,17,7,PARTNER_RESCUED,1,9,0
off,0.3,0.05,1.0,18,0,PARTNER_RESCUED,1,2,0
off,0.3,0.05,1.0,18,1,PARTNER_RESCUED,1,3,0
off,0.3,0.05,1.0,18,2,PARTNER_RESCUED,1,4,0
off,0.3,0.05,1.0,18,3,TIMEOUT,0,5,1
