kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,13,6,RESOURCE_TAKEN,9,0,8
0.25,13,7,TIMEOUT,12,2,9
0.25,13,8,TIMEOUT,12,1,10
0.25,13,9,TIMEOUT,12,1,11
0.25,14,0,PARTNER_DEAD,8,0,2
0.25,14,1,TIMEOUT,12,0,3
0.25,14,2,PARTNER_RESCUED,7,0,4
0.25,14,3,TIMEOUT,12,0,5
0.25,14,4,RESOURCE_TAKEN,12,0,6
0.25,14,5,TIMEOUT,12,2,7
0.25,14,6,TIMEOUT,12,1,8
0.25,14,7,TIMEOUT,12,0,9
0.25,14,8,RESOURCE_TAKEN,10,0,10
0.25,14,9,TIMEOUT,12,1,11
0.25,15,0,TIMEOUT,12,0,2
0.25,15,1,RESOURCE_TAKEN,12,0,3
0.25,15,2,TIMEOUT,12,2,4
0.25,15,3,TIMEOUT,12,1,5
0.25,15,4,TIMEOUT,12,2,6
0.25,15,5,TIMEOUT,12,2,7
0.25,15,6,TIMEOUT,12,0,8
0.25,15,7,TIMEOUT,12,0,9
0.25,15,8,TIMEOUT,12,0,10
0.25,15,9,RESOURCE_TAKEN,12,0,11
0.25,16,0,TIMEOUT,12,1,2
0.25,16,1,TIMEOUT,12,0,3
0.25,16,2,TIMEOUT,12,1,4
0.25,16,3,RESOURCE_TAKEN,12,0,5
0.25,16,4,TIMEOUT,12,0,6
0.25,16,5,TIMEOUT,12,0,7
0.25,16,6,TIMEOUT,12,0,8
0.25,16,7,TIMEOUT,12,2,9
0.25,16,8,TIMEOUT,12,0,10
0.25,16,9,TIMEOUT,12,0,11
0.25,17,0,TIMEOUT,12,1,2
0.25,17,1,TIMEOUT,12,0,3
0.25,17,2,RESOURCE_TAKEN,11,0,4
0.25,17,3,TIMEOUT,12,2,5
0.25,17,4,RESOURCE_TAKEN,10,0,6
0.25,17,5,TIMEOUT,12,1,7
0.25,17,6,TIMEOUT,12,0,8
0.25,17,7,RESOURCE_TAKEN,9,0,9
0.25,17,8,TIMEOUT,12,2,10
0.25,17,9,TIMEOUT,12,0,11
0.25,18,0,TIMEOUT,12,1,2
0.25,18,1,RESOURCE_TAKEN,10,0,3
0.25,18,2,TIMEOUT,12,0,4
0.25,18,3,TIMEOUT,12,1,5
0.25,18,4,RESOURCE_TAKEN,9,0,6
0.25,18,5,TIMEOUT,12,2,7
0.25,18,6,TIMEOUT,12,1,8
0.25,18,7,RESOURCE_TAKEN,12,0,9
0.25,18,8,TIMEOUT,12,0,10
0.25,18,9,TIMEOUT,12,1,11
0.25,19,0,TIMEOUT,12,0,2
0.25,19,1,TIMEOUT,12,0,3
0.25,19,2,TIMEOUT,12,1,4
0.25,19,3,RESOURCE_TAKEN,12,0,5
0.25,19,4,RESOURCE_TAKEN,12,0,6
0.25,19,5,TIMEOUT,12,0,7
0.25,19,6,TIMEOUT,12,0,8
0.25,19,7,TIMEOUT,12,2,9
0.25,19,8,TIMEOUT,12,0,10
0.25,19,9,TIMEOUT,12,1,11
0.25,20,0,TIMEOUT,12,2,2
0.25,20,1,TIMEOUT,12,1,3
0.25,20,2,TIMEOUT,12,2,4
0.25,20,3,RESOURCE_TAKEN,11,0,5
0.25,20,4,TIMEOUT,12,2,6
0.25,20,5,TIMEOUT,12,1,7
0.25,20,6,RESOURCE_TAKEN,12,0,8
0.25,20,7,TIMEOUT,12,2,9
0.25,20,8,RESOURCE_TAKEN,12,0,10
0.25,20,9,TIMEOUT,12,2,11
0.25,21,0,TIMEOUT,12,0,2
0.25,21,1,TIMEOUT,12,1,3
0.25,21,2,RESOURCE_TAKEN,8,0,4
0.25,21,3,TIMEOUT,12,2,5
0.25,21,4,TIMEOUT,12,1,6
0.25,21,5,TIMEOUT,12,0,7
0.25,21,6,TIMEOUT,12,0,8
0.25,21,7,RESOURCE_TAKEN,11,0,9
0.25,21,8,TIMEOUT,12,2,10
0.25,21,9,TIMEOUT,12,2,11
0.25,22,0,TIMEOUT,12,0,2
0.25,22,1,TIMEOUT,12,0,3
0.25,22,2,TIMEOUT,12,0,4
0.25,22,3,RESOURCE_TAKEN,11,0,5
0.25,22,4,TIMEOUT,12,1,6
0.25,22,5,TIMEOUT,12,2,7
0.25,22,6,TIMEOUT,12,0,8
0.25,22,7,TIMEOUT,12,0,9
0.25,22,8,TIMEOUT,12,0,10
