kappa,softmax_temp,agent_id,outcome,rescued,resource,partner_dead,timeout,steps_used,target_switches
0.1,0.05,30,TIMEOUT,0,0,0,1,12,1
0.1,0.05,31,TIMEOUT,0,0,0,1,12,0
0.1,0.05,32,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,33,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,34,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,35,RESOURCE_TAKEN,0,1,0,0,12,0
0.1,0.05,36,TIMEOUT,0,0,0,1,12,2
0.1,0.05,37,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,38,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.05,39,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,40,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,41,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,42,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,43,TIMEOUT,0,0,0,1,12,0
0.1,0.05,44,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,45,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,46,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,47,RESOURCE_TAKEN,0,1,0,0,12,0
0.1,0.05,48,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,49,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,50,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.05,51,RESOURCE_TAKEN,0,1,0,0,8,0
0.1,0.05,52,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,53,RESOURCE_TAKEN,0,1,0,0,7,0
0.1,0.05,54,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.05,55,RESOURCE_TAKEN,0,1,0,0,11,1
0.1,0.05,56,RESOURCE_TAKEN,0,1,0,0,11,0
0.1,0.05,57,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,58,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.05,59,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.15,0,TIMEOUT,0,0,0,1,12,0
0.1,0.15,1,RESOURCE_TAKEN,0,1,0,0,11,0
0.1,0.15,2,TIMEOUT,0,0,0,1,12,0
0.1,0.15,3,TIMEOUT,0,0,0,1,12,0
0.1,0.15,4,TIMEOUT,0,0,0,1,12,0
0.1,0.15,5,TIMEOUT,0,0,0,1,12,0
0.1,0.15,6,TIMEOUT,0,0,0,1,12,3
0.1,0.15,7,TIMEOUT,0,0,0,1,12,0
0.1,0.15,8,TIMEOUT,0,0,0,1,12,0
0.1,0.15,9,TIMEOUT,0,0,0,1,12,0
0.1,0.15,10,TIMEOUT,0,0,0,1,12,1
0.1,0.15,11,TIMEOUT,0,0,0,1,12,0
0.1,0.15,12,TIMEOUT,0,0,0,1,12,0
0.1,0.15,13,TIMEOUT,0,0,0,1,12,0
0.1,0.15,14,TIMEOUT,0,0,0,1,12,0
0.1,0.15,15,TIMEOUT,0,0,0,1,12,2
0.1,0.15,16,TIMEOUT,0,0,0,1,12,1
0.1,0.15,17,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.15,18,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.15,19,TIMEOUT,0,0,0,1,12,0
0.1,0.15,20,RESOURCE_TAKEN,0,1,0,0,9,0
0.1,0.15,21,TIMEOUT,0,0,0,1,12,0
0.1,0.15,22,TIMEOUT,0,0,0,1,12,0
0.1,0.15,23,TIMEOUT,0,0,0,1,12,0
0.1,0.15,24,TIMEOUT,0,0,0,1,12,0
0.1,0.15,25,TIMEOUT,0,0,0,1,12,2
0.1,0.15,26,TIMEOUT,0,0,0,1,12,0
0.1,0.15,27,TIMEOUT,0,0,0,1,12,0
0.1,0.15,28,TIMEOUT,0,0,0,1,12,0
0.1,0.15,29,TIMEOUT,0,0,0,1,12,2
0.1,0.15,30,RESOURCE_TAKEN,0,1,0,0,10,2
0.1,0.15,31,TIMEOUT,0,0,0,1,12,0
0.1,0.15,32,RESOURCE_TAKEN,0,1,0,0,12,0
0.1,0.15,33,TIMEOUT,0,0,0,1,12,0
0.1,0.15,34,TIMEOUT,0,0,0,1,12,2
0.1,0.15,35,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.15,36,TIMEOUT,0,0,0,1,12,0
0.1,0.15,37,TIMEOUT,0,0,0,1,12,0
0.1,0.15,38,TIMEOUT,0,0,0,1,12,0
0.1,0.15,39,TIMEOUT,0,0,0,1,12,0
0.1,0.15,40,TIMEOUT,0,0,0,1,12,0
0.1,0.15,41,RESOURCE_TAKEN,0,1,0,0,11,0
0.1,0.15,42,RESOURCE_TAKEN,0,1,0,0,10,0
0.1,0.15,43,TIMEOUT,0,0,0,1,12,0
