beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,4,6,TIMEOUT,0,8,2
0.05,0.05,4,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,4,8,TIMEOUT,0,10,1
0.05,0.05,4,9,TIMEOUT,0,11,0
0.05,0.05,5,0,PARTNER_RESCUED,1,2,0
0.05,0.05,5,1,TIMEOUT,0,3,2
0.05,0.05,5,2,TIMEOUT,0,4,1
0.05,0.05,5,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,5,4,PARTNER_RESCUED,1,6,0
0.05,0.05,5,5,PARTNER_RESCUED,1,7,0
0.05,0.05,5,6,TIMEOUT,0,8,0
0.05,0.05,5,7,TIMEOUT,0,9,0
0.05,0.05,5,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,5,9,TIMEOUT,0,11,2
0.05,0.05,6,0,PARTNER_RESCUED,1,2,0
0.05,0.05,6,1,TIMEOUT,0,3,1
0.05,0.05,6,2,TIMEOUT,0,4,3
0.05,0.05,6,3,TIMEOUT,0,5,2
0.05,0.05,6,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,6,5,PARTNER_RESCUED,1,7,0
0.05,0.05,6,6,PARTNER_RESCUED,1,8,0
0.05,0.05,6,7,TIMEOUT,0,9,0
0.05,0.05,6,8,TIMEOUT,0,10,0
0.05,0.05,6,9,TIMEOUT,0,11,0
0.05,0.05,7,0,PARTNER_RESCUED,1,2,0
0.05,0.05,7,1,PARTNER_RESCUED,1,3,0
0.05,0.05,7,2,TIMEOUT,0,4,2
0.05,0.05,7,3,TIMEOUT,0,5,1
0.05,0.05,7,4,TIMEOUT,0,6,0
0.05,0.05,7,5,TIMEOUT,0,7,2
0.05,0.05,7,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,7,7,PARTNER_RESCUED,1,9,0
0.05,0.05,7,8,TIMEOUT,0,10,0
0.05,0.05,7,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,8,0,PARTNER_RESCUED,1,2,0
0.05,0.05,8,1,TIMEOUT,0,3,1
0.05,0.05,8,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,8,3,PARTNER_RESCUED,1,5,0
0.05,0.05,8,4,PARTNER_RESCUED,1,6,0
0.05,0.05,8,5,TIMEOUT,0,7,2
0.05,0.05,8,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,8,7,TIMEOUT,0,9,1
0.05,0.05,8,8,TIMEOUT,0,10,2
0.05,0.05,8,9,TIMEOUT,0,11,2
0.05,0.05,9,0,PARTNER_RESCUED,1,2,0
0.05,0.05,9,1,TIMEOUT,0,3,3
0.05,0.05,9,2,TIMEOUT,0,4,1
0.05,0.05,9,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,9,4,PARTNER_RESCUED,1,6,0
0.05,0.05,9,5,TIMEOUT,0,7,0
0.05,0.05,9,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,9,7,TIMEOUT,0,9,0
0.05,0.05,9,8,TIMEOUT,0,10,0
0.05,0.05,9,9,TIMEOUT,0,11,2
0.05,0.05,10,0,PARTNER_RESCUED,1,2,0
0.05,0.05,10,1,PARTNER_RESCUED,1,3,0
0.05,0.05,10,2,TIMEOUT,0,4,1
0.05,0.05,10,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,10,4,PARTNER_RESCUED,1,6,0
0.05,0.05,10,5,PARTNER_DEAD,0,7,0
0.05,0.05,10,6,PARTNER_RESCUED,1,8,0
0.05,0.05,10,7,PARTNER_DEAD,0,9,0
0.05,0.05,10,8,PARTNER_RESCUED,1,10,0
0.05,0.05,10,9,TIMEOUT,0,11,1
0.05,0.05,11,0,PARTNER_RESCUED,1,2,0
0.05,0.05,11,1,TIMEOUT,0,3,1
0.05,0.05,11,2,TIMEOUT,0,4,1
0.05,0.05,11,3,RESOURCE_TAKEN,0,5,2
0.05,0.05,11,4,TIMEOUT,0,6,1
0.05,0.05,11,5,TIMEOUT,0,7,1
0.05,0.05,11,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,11,7,PARTNER_DEAD,0,9,1
0.05,0.05,11,8,PARTNER_RESCUED,1,10,0
0.05,0.05,11,9,PARTNER_RESCUED,1,11,0
0.05,0.05,12,0,PARTNER_RESCUED,1,2,0
0.05,0.05,12,1,TIMEOUT,0,3,2
0.05,0.05,12,2,TIMEOUT,0,4,2
0.05,0.05,12,3,TIMEOUT,0,5,1
0.05,0.05,12,4,TIMEOUT,0,6,3
0.05,0.05,12,5,TIMEOUT,0,7,0
0.05,0.05,12,6,TIMEOUT,0,8,0
0.05,0.05,12,7,TIMEOUT,0,9,2
0.05,0.05,12,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,12,9,TIMEOUT,0,11,0
0.05,0.05,13,0,PARTNER_RESCUED,1,2,0
0.05,0.05,13,1,TIMEOUT,0,3,1
0.05,0.05,13,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,13,3,PARTNER_RESCUED,1,5,0
0.05,0.05,13,4,PARTNER_RESCUED,1,6,0
0.05,0.05,13,5,TIMEOUT,0,7,0
0.05,0.05,13,6,TIMEOUT,0,8,0
0.05,0.05,13,7,TIMEOUT,0,9,0
0.05,0.05,13,8,TIMEOUT,0,10,2
0.05,0.05,13,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,14,0,PARTNER_RESCUED,1,2,0
0.05,0.05,14,1,TIMEOUT,0,3,1
0.05,0.05,14,2,TIMEOUT,0,4,2
0.05,0.05,14,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,14,4,PARTNER_RESCUED,1,6,0
0.05,0.05,14,5,TIMEOUT,0,7,1
0.05,0.05,14,6,TIMEOUT,0,8,0
0.05,0.05,14,7,RESOURCE_TAKEN,0,9,1
0.05,0.05,14,8,PARTNER_RESCUED,1,10,0
0.05,0.05,14,9,TIMEOUT,0,11,1
0.05,0.05,15,0,PARTNER_RESCUED,1,2,0
0.05,0.05,15,1,TIMEOUT,0,3,1
0.05,0.05,15,2,TIMEOUT,0,4,0
0.05,0.05,15,3,TIMEOUT,0,5,0
0.05,0.05,15,4,TIMEOUT,0,6,0
0.05,0.05,15,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,15,6,PARTNER_RESCUED,1,8,0
0.05,0.05,15,7,PARTNER_RESCUED,1,9,0
0.05,0.05,15,8,TIMEOUT,0,10,2
0.05,0.05,15,9,TIMEOUT,0,11,1
0.05,0.05,16,0,PARTNER_RESCUED,1,2,0
0.05,0.05,16,1,TIMEOUT,0,3,2
0.05,0.05,16,2,TIMEOUT,0,4,0
0.05,0.05,16,3,TIMEOUT,0,5,0
0.05,0.05,16,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,16,5,PARTNER_DEAD,0,7,1
0.05,0.05,16,6,TIMEOUT,0,8,1
0.05,0.05,16,7,PARTNER_RESCUED,1,9,0
0.05,0.05,16,8,TIMEOUT,0,10,1
0.05,0.05,16,9,TIMEOUT,0,11,1
0.05,0.05,17,0,PARTNER_RESCUED,1,2,0
0.05,0.05,17,1,TIMEOUT,0,3,2
0.05,0.05,17,2,TIMEOUT,0,4,0
0.05,0.05,17,3,TIMEOUT,0,5,1
0.05,0.05,17,4,TIMEOUT,0,6,0
0.05,0.05,17,5,TIMEOUT,0,7,1
0.05,0.05,17,6,TIMEOUT,0,8,0
0.05,0.05,17,7,TIMEOUT,0,9,2
0.05,0.05,17,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,17,9,PARTNER_RESCUED,1,11,0
0.05,0.05,18,0,TIMEOUT,0,2,1
0.05,0.05,18,1,TIMEOUT,0,3,2
0.05,0.05,18,2,TIMEOUT,0,4,0
0.05,0.05,18,3,RESOURCE_TAKEN,0,5,1
0.05,0.05,18,4,PARTNER_RESCUED,1,6,0
0.05,0.05,18,5,TIMEOUT,0,7,1
0.05,0.05,18,6,TIMEOUT,0,8,1
0.05,0.05,18,7,TIMEOUT,0,9,1
0.05,0.05,18,8,TIMEOUT,0,10,2
0.05,0.05,18,9,TIMEOUT,0,11,1
0.05,0.05,19,0,TIMEOUT,0,2,1
0.05,0.05,19,1,TIMEOUT,0,3,0
0.05,0.05,19,2,TIMEOUT,0,4,2
0.05,0.05,19,3,TIMEOUT,0,5,2
0.05,0.05,19,4,TIMEOUT,0,6,1
0.05,0.05,19,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,19,6,PARTNER_RESCUED,1,8,0
0.05,0.05,19,7,TIMEOUT,0,9,1
0.05,0.05,19,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,19,9,PARTNER_RESCUED,1,11,0
0.05,0.05,20,0,PARTNER_RESCUED,1,2,0
0.05,0.05,20,1,TIMEOUT,0,3,1
0.05,0.05,20,2,TIMEOUT,0,4,1
0.05,0.05,20,3,TIMEOUT,0,5,2
0.05,0.05,20,4,TIMEOUT,0,6,1
0.05,0.05,20,5,TIMEOUT,0,7,0
0.05,0.05,20,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,20,7,PARTNER_RESCUED,1,9,0
0.05,0.05,20,8,PARTNER_RESCUED,1,10,0
0.05,0.05,20,9,TIMEOUT,0,11,0
0.05,0.05,21,0,PARTNER_RESCUED,1,2,0
0.05,0.05,21,1,TIMEOUT,0,3,0
0.05,0.05,21,2,TIMEOUT,0,4,0
0.05,0.05,21,3,TIMEOUT,0,5,0
0.05,0.05,21,4,TIMEOUT,0,6,1
0.05,0.05,21,5,TIMEOUT,0,7,0
0.05,0.05,21,6,TIMEOUT,0,8,3
0.05,0.05,21,7,TIMEOUT,0,9,0
0.05,0.05,21,8,TIMEOUT,0,10,1
0.05,0.05,21,9,TIMEOUT,0,11,1
0.05,0.05,22,0,PARTNER_RESCUED,1,2,0
0.05,0.05,22,1,TIMEOUT,0,3,0
0.05,0.05,22,2,TIMEOUT,0,4,0
0.05,0.05,22,3,TIMEOUT,0,5,0
0.05,0.05,22,4,TIMEOUT,0,6,0
0.05,0.05,22,5,TIMEOUT,0,7,0
0.05,0.05,22,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,22,7,PARTNER_RESCUED,1,9,0
0.05,0.05,22,8,TIMEOUT,0,10,1
0.05,0.05,22,9,TIMEOUT,0,11,2
0.05,0.05,23,0,PARTNER_RESCUED,1,2,0
0.05,0.05,23,1,TIMEOUT,0,3,0
0.05,0.05,23,2,TIMEOUT,0,4,0
0.05,0.05,23,3,TIMEOUT,0,5,4
0.05,0.05,23,4,TIMEOUT,0,6,0
0.05,0.05,23,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,23,6,TIMEOUT,0,8,1
0.05,0.05,23,7,TIMEOUT,0,9,1
0.05,0.05,23,8,TIMEOUT,0,10,0
0.05,0.05,23,9,TIMEOUT,0,11,0
0.05,0.05,24,0,PARTNER_RESCUED,1,2,0
0.05,0.05,24,1,TIMEOUT,0,3,1
0.05,0.05,24,2,TIMEOUT,0,4,1
0.05,0.05,24,3,RESOURCE_TAKEN,0,5,1
0.05,0.05,24,4,PARTNER_RESCUED,1,6,0
0.05,0.05,24,5,TIMEOUT,0,7,1
0.05,0.05,24,6,TIMEOUT,0,8,2
0.05,0.05,24,7,TIMEOUT,0,9,1
0.05,0.05,24,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,24,9,PARTNER_RESCUED,1,11,0
0.05,0.05,25,0,PARTNER_RESCUED,1,2,0
0.05,0.05,25,1,TIMEOUT,0,3,2
0.05,0.05,25,2,TIMEOUT,0,4,1
0.05,0.05,25,3,TIMEOUT,0,5,1
0.05,0.05,25,4,TIMEOUT,0,6,0
0.05,0.05,25,5,TIMEOUT,0,7,1
0.05,0.05,25,6,TIMEOUT,0,8,0
0.05,0.05,25,7,TIMEOUT,0,9,1
0.05,0.05,25,8,TIMEOUT,0,10,3
0.05,0.05,25,9,TIMEOUT,0,11,0
0.05,0.05,26,0,PARTNER_RESCUED,1,2,0
0.05,0.05,26,1,TIMEOUT,0,3,0
0.05,0.05,26,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,26,3,PARTNER_RESCUED,1,5,0
0.05,0.05,26,4,PARTNER_RESCUED,1,6,0
0.05,0.05,26,5,TIMEOUT,0,7,0
0.05,0.05,26,6,TIMEOUT,0,8,1
0.05,0.05,26,7,TIMEOUT,0,9,0
0.05,0.05,26,8,TIMEOUT,0,10,0
0.05,0.05,26,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,27,0,PARTNER_RESCUED,1,2,0
0.05,0.05,27,1,TIMEOUT,0,3,0
0.05,0.05,27,2,TIMEOUT,0,4,2
0.05,0.05,27,3,TIMEOUT,0,5,2
0.05,0.05,27,4,TIMEOUT,0,6,1
0.05,0.05,27,5,TIMEOUT,0,7,0
0.05,0.05,27,6,TIMEOUT,0,8,1
0.05,0.05,27,7,TIMEOUT,0,9,0
0.05,0.05,27,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,27,9,TIMEOUT,0,11,1
0.05,0.05,28,0,PARTNER_RESCUED,1,2,0
0.05,0.05,28,1,TIMEOUT,0,3,0
0.05,0.05,28,2,TIMEOUT,0,4,1
0.05,0.05,28,3,TIMEOUT,0,5,2
0.05,0.05,28,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,28,5,PARTNER_RESCUED,1,7,0
0.05,0.05,28,6,TIMEOUT,0,8,1
0.05,0.05,28,7,TIMEOUT,0,9,0
0.05,0.05,28,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,28,9,PARTNER_RESCUED,1,11,0
0.05,0.05,29,0,PARTNER_RESCUED,1,2,0
0.05,0.05,29,1,TIMEOUT,0,3,1
0.05,0.05,29,2,TIMEOUT,0,4,1
0.05,0.05,29,3,TIMEOUT,0,5,2
0.05,0.05,29,4,TIMEOUT,0,6,1
0.05,0.05,29,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,29,6,PARTNER_RESCUED,1,8,0
0.05,0.05,29,7,TIMEOUT,0,9,0
0.05,0.05,29,8,TIMEOUT,0,10,1
0.05,0.05,29,9,TIMEOUT,0,11,0
0.05,0.05,30,0,PARTNER_RESCUED,1,2,0
0.05,0.05,30,1,TIMEOUT,0,3,0
0.05,0.05,30,2,TIMEOUT,0,4,1
0.05,0.05,30,3,TIMEOUT,0,5,1
0.05,0.05,30,4,RESOURCE_TAKEN,0,6,1
0.05,0.05,30,5,PARTNER_RESCUED,1,7,0
0.05,0.05,30,6,PARTNER_RESCUED,1,8,0
0.05,0.05,30,7,TIMEOUT,0,9,0
0.05,0.05,30,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,30,9,PARTNER_RESCUED,1,11,0
0.05,0.05,31,0,PARTNER_RESCUED,1,2,0
0.05,0.05,31,1,TIMEOUT,0,3,1
0.05,0.05,31,2,TIMEOUT,0,4,0
0.05,0.05,31,3,TIMEOUT,0,5,2
0.05,0.05,31,4,TIMEOUT,0,6,1
0.05,0.05,31,5,TIMEOUT,0,7,1
0.05,0.05,31,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,31,7,PARTNER_RESCUED,1,9,0
0.05,0.05,31,8,PARTNER_DEAD,0,10,0
0.05,0.05,31,9,PARTNER_RESCUED,1,11,0
0.05,0.05,32,0,PARTNER_RESCUED,1,2,0
0.05,0.05,32,1,TIMEOUT,0,3,2
0.05,0.05,32,2,TIMEOUT,0,4,2
0.05,0.05,32,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,32,4,TIMEOUT,0,6,1
0.05,0.05,32,5,TIMEOUT,0,7,0
0.05,0.05,32,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,32,7,PARTNER_RESCUED,1,9,0
0.05,0.05,32,8,TIMEOUT,0,10,1
0.05,0.05,32,9,TIMEOUT,0,11,1
0.05,0.05,33,0,PARTNER_RESCUED,1,2,0
0.05,0.05,33,1,TIMEOUT,0,3,1
0.05,0.05,33,2,TIMEOUT,0,4,0
0.05,0.05,33,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,33,4,PARTNER_RESCUED,1,6,0
0.05,0.05,33,5,TIMEOUT,0,7,0
0.05,0.05,33,6,TIMEOUT,0,8,2
0.05,0.05,33,7,TIMEOUT,0,9,0
0.05,0.05,33,8,TIMEOUT,0,10,1
0.05,0.05,33,9,TIMEOUT,0,11,1
0.05,0.05,34,0,PARTNER_RESCUED,1,2,0
0.05,0.05,34,1,TIMEOUT,0,3,0
0.05,0.05,34,2,TIMEOUT,0,4,0
0.05,0.05,34,3,TIMEOUT,0,5,0
0.05,0.05,34,4,TIMEOUT,0,6,0
0.05,0.05,34,5,RESOURCE_TAKEN,0,7,1
0.05,0.05,34,6,PARTNER_RESCUED,1,8,0
0.05,0.05,34,7,TIMEOUT,0,9,0
0.05,0.05,34,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,34,9,TIMEOUT,0,11,1
0.05,0.05,35,0,PARTNER_RESCUED,1,2,0
0.05,0.05,35,1,TIMEOUT,0,3,0
0.05,0.05,35,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,35,3,PARTNER_RESCUED,1,5,0
0.05,0.05,35,4,PARTNER_RESCUED,1,6,0
0.05,0.05,35,5,TIMEOUT,0,7,2
0.05,0.05,35,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,35,7,PARTNER_RESCUED,1,9,0
0.05,0.05,35,8,TIMEOUT,0,10,0
0.05,0.05,35,9,TIMEOUT,0,11,2
0.05,0.05,36,0,PARTNER_RESCUED,1,2,0
0.05,0.05,36,1,TIMEOUT,0,3,2
0.05,0.05,36,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,36,3,PARTNER_RESCUED,1,5,0
0.05,0.05,36,4,PARTNER_RESCUED,1,6,0
0.05,0.05,36,5,TIMEOUT,0,7,1
0.05,0.05,36,6,TIMEOUT,0,8,1
0.05,0.05,36,7,TIMEOUT,0,9,0
0.05,0.05,36,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,36,9,PARTNER_RESCUED,1,11,0
0.05,0.05,37,0,PARTNER_RESCUED,1,2,0
0.05,0.05,37,1,PARTNER_RESCUED,1,3,0
0.05,0.05,37,2,TIMEOUT,0,4,1
0.05,0.05,37,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,37,4,PARTNER_RESCUED,1,6,0
0.05,0.05,37,5,TIMEOUT,0,7,1
0.05,0.05,37,6,TIMEOUT,0,8,1
0.05,0.05,37,7,TIMEOUT,0,9,0
0.05,0.05,37,8,TIMEOUT,0,10,0
0.05,0.05,37,9,TIMEOUT,0,11,2
0.05,0.05,38,0,PARTNER_RESCUED,1,2,0
0.05,0.05,38,1,TIMEOUT,0,3,1
0.05,0.05,38,2,TIMEOUT,0,4,1
0.05,0.05,38,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,38,4,TIMEOUT,0,6,1
0.05,0.05,38,5,TIMEOUT,0,7,0
0.05,0.05,38,6,TIMEOUT,0,8,1
0.05,0.05,38,7,TIMEOUT,0,9,0
0.05,0.05,38,8,TIMEOUT,0,10,2
0.05,0.05,38,9,TIMEOUT,0,11,1
0.05,0.05,39,0,TIMEOUT,0,2,1
0.05,0.05,39,1,TIMEOUT,0,3,0
0.05,0.05,39,2,TIMEOUT,0,4,1
0.05,0.05,39,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,39,4,PARTNER_RESCUED,1,6,0
0.05,0.05,39,5,TIMEOUT,0,7,0
0.05,0.05,39,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,39,7,TIMEOUT,0,9,1
0.05,0.05,39,8,TIMEOUT,0,10,0
0.05,0.05,39,9,TIMEOUT,0,11,1
0.05,0.05,40,0,PARTNER_RESCUED,1,2,0
0.05,0.05,40,1,TIMEOUT,0,3,0
0.05,0.05,40,2,TIMEOUT,0,4,0
0.05,0.05,40,3,TIMEOUT,0,5,1
0.05,0.05,40,4,TIMEOUT,0,6,0
0.05,0.05,40,5,TIMEOUT,0,7,1
0.05,0.05,40,6,RESOURCE_TAKEN,0,8,1
0.05,0.05,40,7,PARTNER_RESCUED,1,9,0
0.05,0.05,40,8,TIMEOUT,0,10,1
0.05,0.05,40,9,TIMEOUT,0,11,1
0.05,0.05,41,0,PARTNER_RESCUED,1,2,0
0.05,0.05,41,1,PARTNER_RESCUED,1,3,0
0.05,0.05,41,2,TIMEOUT,0,4,1
0.05,0.05,41,3,TIMEOUT,0,5,2
0.05,0.05,41,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,41,5,PARTNER_RESCUED,1,7,0
0.05,0.05,41,6,PARTNER_RESCUED,1,8,0
0.05,0.05,41,7,TIMEOUT,0,9,1
0.05,0.05,41,8,TIMEOUT,0,10,1
0.05,0.05,41,9,TIMEOUT,0,11,2
0.05,0.05,42,0,PARTNER_RESCUED,1,2,0
0.05,0.05,42,1,TIMEOUT,0,3,1
0.05,0.05,42,2,TIMEOUT,0,4,1
0.05,0.05,42,3,TIMEOUT,0,5,1
0.05,0.05,42,4,TIMEOUT,0,6,0
0.05,0.05,42,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,42,6,TIMEOUT,0,8,1
0.05,0.05,42,7,TIMEOUT,0,9,0
0.05,0.05,42,8,TIMEOUT,0,10,1
0.05,0.05,42,9,TIMEOUT,0,11,0
0.05,0.05,43,0,PARTNER_DEAD,0,2,1
0.05,0.05,43,1,TIMEOUT,0,3,1
0.05,0.05,43,2,TIMEOUT,0,4,0
0.05,0.05,43,3,TIMEOUT,0,5,2
0.05,0.05,43,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,43,5,TIMEOUT,0,7,2
0.05,0.05,43,6,PARTNER_DEAD,0,8,0
0.05,0.05,43,7,PARTNER_RESCUED,1,9,0
0.05,0.05,43,8,PARTNER_RESCUED,1,10,0
0.05,0.05,43,9,TIMEOUT,0,11,1
0.05,0.05,44,0,PARTNER_RESCUED,1,2,0
0.05,0.05,44,1,TIMEOUT,0,3,0
0.05,0.05,44,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,44,3,PARTNER_RESCUED,1,5,0
0.05,0.05,44,4,PARTNER_RESCUED,1,6,0
0.05,0.05,44,5,TIMEOUT,0,7,0
0.05,0.05,44,6,TIMEOUT,0,8,2
0.05,0.05,44,7,TIMEOUT,0,9,0
0.05,0.05,44,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,44,9,TIMEOUT,0,11,1
0.05,0.05,45,0,PARTNER_RESCUED,1,2,0
0.05,0.05,45,1,TIMEOUT,0,3,1
0.05,0.05,45,2,TIMEOUT,0,4,0
0.05,0.05,45,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,45,4,PARTNER_RESCUED,1,6,0
0.05,0.05,45,5,TIMEOUT,0,7,1
0.05,0.05,45,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,45,7,PARTNER_RESCUED,1,9,0
0.05,0.05,45,8,TIMEOUT,0,10,1
0.05,0.05,45,9,TIMEOUT,0,11,0
0.05,0.05,46,0,PARTNER_RESCUED,1,2,0
0.05,0.05,46,1,PARTNER_RESCUED,1,3,0
0.05,0.05,46,2,TIMEOUT,0,4,0
0.05,0.05,46,3,TIMEOUT,0,5,0
0.05,0.05,46,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,46,5,PARTNER_RESCUED,1,7,0
0.05,0.05,46,6,PARTNER_RESCUED,1,8,0
0.05,0.05,46,7,PARTNER_RESCUED,1,9,0
0.05,0.05,46,8,TIMEOUT,0,10,3
0.05,0.05,46,9,TIMEOUT,0,11,1
0.05,0.05,47,0,PARTNER_RESCUED,1,2,0
0.05,0.05,47,1,PARTNER_RESCUED,1,3,0
0.05,0.05,47,2,TIMEOUT,0,4,1
0.05,0.05,47,3,TIMEOUT,0,5,0
0.05,0.05,47,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,47,5,TIMEOUT,0,7,0
0.05,0.05,47,6,PARTNER_RESCUED,1,8,0
0.05,0.05,47,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,47,8,PARTNER_RESCUED,1,10,0
0.05,0.05,47,9,PARTNER_RESCUED,1,11,0
0.05,0.05,48,0,PARTNER_RESCUED,1,2,0
0.05,0.05,48,1,TIMEOUT,0,3,0
0.05,0.05,48,2,TIMEOUT,0,4,0
0.05,0.05,48,3,RESOURCE_TAKEN,0,5,2
0.05,0.05,48,4,PARTNER_RESCUED,1,6,0
0.05,0.05,48,5,PARTNER_RESCUED,1,7,0
0.05,0.05,48,6,TIMEOUT,0,8,1
0.05,0.05,48,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,48,8,PARTNER_RESCUED,1,10,0
0.05,0.05,48,9,TIMEOUT,0,11,1
0.05,0.05,49,0,TIMEOUT,0,2,1
0.05,0.05,49,1,TIMEOUT,0,3,1
0.05,0.05,49,2,TIMEOUT,0,4,1
0.05,0.05,49,3,TIMEOUT,0,5,0
0.05,0.05,49,4,TIMEOUT,0,6,2
0.05,0.05,49,5,RESOURCE_TAKEN,0,7,1
0.05,0.05,49,6,PARTNER_RESCUED,1,8,0
0.05,0.05,49,7,TIMEOUT,0,9,1
0.05,0.05,49,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,49,9,PARTNER_RESCUED,1,11,0
