seed_group,agent_id,episode_idx,outcome,rescued
0,16,3,TIMEOUT,0
0,16,4,RESOURCE_TAKEN,0
0,16,5,PARTNER_RESCUED,1
0,16,6,PARTNER_RESCUED,1
0,16,7,PARTNER_RESCUED,1
0,16,8,PARTNER_RESCUED,1
0,16,9,PARTNER_RESCUED,1
0,17,0,PARTNER_RESCUED,1
0,17,1,TIMEOUT,0
0,17,2,PARTNER_RESCUED,1
0,17,3,PARTNER_RESCUED,1
0,17,4,PARTNER_RESCUED,1
0,17,5,PARTNER_RESCUED,1
0,17,6,PARTNER_RESCUED,1
0,17,7,PARTNER_RESCUED,1
0,17,8,PARTNER_RESCUED,1
0,17,9,PARTNER_RESCUED,1
0,18,0,PARTNER_RESCUED,1
0,18,1,PARTNER_RESCUED,1
0,18,2,PARTNER_RESCUED,1
0,18,3,TIMEOUT,0
0,18,4,PARTNER_RESCUED,1
0,18,5,PARTNER_RESCUED,1
0,18,6,PARTNER_RESCUED,1
0,18,7,PARTNER_RESCUED,1
0,18,8,PARTNER_RESCUED,1
0,18,9,PARTNER_RESCUED,1
0,19,0,PARTNER_RESCUED,1
0,19,1,PARTNER_RESCUED,1
0,19,2,PARTNER_RESCUED,1
0,19,3,PARTNER_RESCUED,1
0,19,4,PARTNER_RESCUED,1
0,19,5,PARTNER_RESCUED,1
0,19,6,PARTNER_RESCUED,1
0,19,7,PARTNER_RESCUED,1
0,19,8,TIMEOUT,0
0,19,9,PARTNER_RESCUED,1
0,20,0,PARTNER_RESCUED,1
0,20,1,PARTNER_RESCUED,1
0,20,2,PARTNER_RESCUED,1
0,20,3,PARTNER_RESCUED,1
0,20,4,PARTNER_RESCUED,1
0,20,5,TIMEOUT,0
0,20,6,PARTNER_RESCUED,1
0,20,7,PARTNER_RESCUED,1
0,20,8,TIMEOUT,0
0,20,9,TIMEOUT,0
0,21,0,PARTNER_RESCUED,1
0,21,1,PARTNER_RESCUED,1
0,21,2,PARTNER_RESCUED,1
0,21,3,PARTNER_RESCUED,1
0,21,4,PARTNER_RESCUED,1
0,21,5,PARTNER_RESCUED,1
0,21,6,PARTNER_RESCUED,1
0,21,7,PARTNER_RESCUED,1
0,21,8,PARTNER_RESCUED,1
0,21,9,PARTNER_RESCUED,1
0,22,0,PARTNER_RESCUED,1
0,22,1,PARTNER_RESCUED,1
0,22,2,PARTNER_RESCUED,1
0,22,3,PARTNER_RESCUED,1
0,22,4,PARTNER_RESCUED,1
0,22,5,TIMEOUT,0
0,22,6,TIMEOUT,0
0,22,7,PARTNER_RESCUED,1
0,22,8,PARTNER_RESCUED,1
0,22,9,PARTNER_RESCUED,1
0,23,0,PARTNER_RESCUED,1
0,23,1,PARTNER_RESCUED,1
0,23,2,TIMEOUT,0
0,23,3,PARTNER_RESCUED,1
0,23,4,PARTNER_RESCUED,1
0,23,5,PARTNER_RESCUED,1
0,23,6,PARTNER_RESCUED,1
0,23,7,PARTNER_RESCUED,1
0,23,8,TIMEOUT,0
0,23,9,PARTNER_RESCUED,1
0,24,0,TIMEOUT,0
0,24,1,PARTNER_RESCUED,1
0,24,2,TIMEOUT,0
0,24,3,PARTNER_RESCUED,1
0,24,4,TIMEOUT,0
0,24,5,PARTNER_RESCUED,1
0,24,6,PARTNER_RESCUED,1
0,24,7,PARTNER_RESCUED,1
0,24,8,TIMEOUT,0
0,24,9,TIMEOUT,0
0,25,0,PARTNER_RESCUED,1
0,25,1,PARTNER_RESCUED,1
0,25,2,PARTNER_RESCUED,1
0,25,3,PARTNER_RESCUED,1
0,25,4,PARTNER_RESCUED,1
0,25,5,PARTNER_RESCUED,1
0,25,6,TIMEOUT,0
0,25,7,PARTNER_RESCUED,1
0,25,8,PARTNER_RESCUED,1
0,25,9,PARTNER_RESCUED,1
0,26,0,PARTNER_RESCUED,1
0,26,1,PARTNER_RESCUED,1
0,26,2,TIMEOUT,0
0,26,3,RESOURCE_TAKEN,0
0,26,4,RESOURCE_TAKEN,0
0,26,5,PARTNER_RESCUED,1
0,26,6,PARTNER_RESCUED,1
0,26,7,PARTNER_RESCUED,1
0,26,8,PARTNER_RESCUED,1
0,26,9,PARTNER_RESCUED,1
0,27,0,PARTNER_RESCUED,1
0,27,1,PARTNER_RESCUED,1
0,27,2,PARTNER_RESCUED,1
0,27,3,PARTNER_RESCUED,1
0,27,4,PARTNER_RESCUED,1
0,27,5,TIMEOUT,0
0,27,6,PARTNER_RESCUED,1
0,27,7,PARTNER_RESCUED,1
0,27,8,PARTNER_RESCUED,1
0,27,9,PARTNER_RESCUED,1
0,28,0,PARTNER_RESCUED,1
0,28,1,TIMEOUT,0
0,28,2,PARTNER_RESCUED,1
