rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,23,2,TIMEOUT,0,4,0
0.0,23,3,TIMEOUT,0,5,0
0.0,23,4,RESOURCE_TAKEN,0,6,2
0.0,23,5,PARTNER_RESCUED,1,7,0
0.0,23,6,PARTNER_DEAD,0,8,0
0.0,23,7,PARTNER_RESCUED,1,9,0
0.0,23,8,TIMEOUT,0,10,1
0.0,23,9,PARTNER_RESCUED,1,11,0
0.0,24,0,PARTNER_RESCUED,1,2,0
0.0,24,1,TIMEOUT,0,3,2
0.0,24,2,TIMEOUT,0,4,1
0.0,24,3,TIMEOUT,0,5,0
0.0,24,4,RESOURCE_TAKEN,0,6,0
0.0,24,5,PARTNER_RESCUED,1,7,0
0.0,24,6,TIMEOUT,0,8,0
0.0,24,7,PARTNER_RESCUED,1,9,0
0.0,24,8,PARTNER_RESCUED,1,10,0
0.0,24,9,TIMEOUT,0,11,0
0.0,25,0,TIMEOUT,0,2,1
0.0,25,1,TIMEOUT,0,3,0
0.0,25,2,TIMEOUT,0,4,2
0.0,25,3,TIMEOUT,0,5,1
0.0,25,4,TIMEOUT,0,6,0
0.0,25,5,RESOURCE_TAKEN,0,7,0
0.0,25,6,PARTNER_RESCUED,1,8,0
0.0,25,7,TIMEOUT,0,9,0
0.0,25,8,TIMEOUT,0,10,0
0.0,25,9,TIMEOUT,0,11,1
0.0,26,0,PARTNER_RESCUED,1,2,0
0.0,26,1,PARTNER_RESCUED,1,3,0
0.0,26,2,TIMEOUT,0,4,0
0.0,26,3,PARTNER_RESCUED,1,5,0
0.0,26,4,TIMEOUT,0,6,1
0.0,26,5,TIMEOUT,0,7,3
0.0,26,6,TIMEOUT,0,8,2
0.0,26,7,TIMEOUT,0,9,2
0.0,26,8,RESOURCE_TAKEN,0,10,0
0.0,26,9,TIMEOUT,0,11,1
0.0,27,0,PARTNER_RESCUED,1,2,0
0.0,27,1,TIMEOUT,0,3,0
0.0,27,2,TIMEOUT,0,4,0
0.0,27,3,TIMEOUT,0,5,2
0.0,27,4,TIMEOUT,0,6,1
0.0,27,5,TIMEOUT,0,7,2
0.0,27,6,RESOURCE_TAKEN,0,8,0
0.0,27,7,PARTNER_RESCUED,1,9,0
0.0,27,8,PARTNER_RESCUED,1,10,0
0.0,27,9,PARTNER_RESCUED,1,11,0
0.0,28,0,PARTNER_RESCUED,1,2,0
0.0,28,1,TIMEOUT,0,3,2
0.0,28,2,TIMEOUT,0,4,1
0.0,28,3,TIMEOUT,0,5,1
0.0,28,4,TIMEOUT,0,6,1
0.0,28,5,TIMEOUT,0,7,0
0.0,28,6,TIMEOUT,0,8,1
0.0,28,7,RESOURCE_TAKEN,0,9,1
0.0,28,8,PARTNER_RESCUED,1,10,0
0.0,28,9,TIMEOUT,0,11,1
0.0,29,0,PARTNER_RESCUED,1,2,0
0.0,29,1,TIMEOUT,0,3,1
0.0,29,2,TIMEOUT,0,4,0
0.0,29,3,TIMEOUT,0,5,2
0.0,29,4,TIMEOUT,0,6,2
0.0,29,5,TIMEOUT,0,7,1
0.0,29,6,TIMEOUT,0,8,0
0.0,29,7,TIMEOUT,0,9,0
0.0,29,8,TIMEOUT,0,10,0
0.0,29,9,TIMEOUT,0,11,0
0.0,30,0,TIMEOUT,0,2,0
0.0,30,1,TIMEOUT,0,3,1
0.0,30,2,PARTNER_RESCUED,1,4,0
0.0,30,3,TIMEOUT,0,5,1
0.0,30,4,TIMEOUT,0,6,0
0.0,30,5,RESOURCE_TAKEN,0,7,2
0.0,30,6,PARTNER_RESCUED,1,8,0
0.0,30,7,TIMEOUT,0,9,1
0.0,30,8,TIMEOUT,0,10,0
0.0,30,9,TIMEOUT,0,11,0
0.0,31,0,PARTNER_RESCUED,1,2,0
0.0,31,1,PARTNER_RESCUED,1,3,0
0.0,31,2,TIMEOUT,0,4,1
0.0,31,3,TIMEOUT,0,5,1
0.0,31,4,TIMEOUT,0,6,0
0.0,31,5,TIMEOUT,0,7,0
0.0,31,6,RESOURCE_TAKEN,0,8,0
0.0,31,7,PARTNER_RESCUED,1,9,0
0.0,31,8,TIMEOUT,0,10,2
0.0,31,9,TIMEOUT,0,11,1
0.0,32,0,PARTNER_RESCUED,1,2,0
0.0,32,1,TIMEOUT,0,3,2
0.0,32,2,TIMEOUT,0,4,0
0.0,32,3,RESOURCE_TAKEN,0,5,0
0.0,32,4,TIMEOUT,0,6,0
0.0,32,5,TIMEOUT,0,7,1
0.0,32,6,TIMEOUT,0,8,0
0.0,32,7,TIMEOUT,0,9,1
0.0,32,8,TIMEOUT,0,10,0
0.0,32,9,TIMEOUT,0,11,1
0.0,33,0,PARTNER_RESCUED,1,2,0
0.0,33,1,PARTNER_RESCUED,1,3,0
0.0,33,2,PARTNER_DEAD,0,4,1
0.0,33,3,PARTNER_RESCUED,1,5,0
0.0,33,4,PARTNER_RESCUED,1,6,0
0.0,33,5,TIMEOUT,0,7,0
0.0,33,6,TIMEOUT,0,8,0
0.0,33,7,TIMEOUT,0,9,1
0.0,33,8,TIMEOUT,0,10,1
0.0,33,9,TIMEOUT,0,11,2
0.0,34,0,PARTNER_RESCUED,1,2,0
0.0,34,1,TIMEOUT,0,3,1
0.0,34,2,TIMEOUT,0,4,2
0.0,34,3,TIMEOUT,0,5,0
0.0,34,4,TIMEOUT,0,6,2
0.0,34,5,TIMEOUT,0,7,2
0.0,34,6,TIMEOUT,0,8,0
0.0,34,7,TIMEOUT,0,9,3
0.0,34,8,RESOURCE_TAKEN,0,10,0
0.0,34,9,PARTNER_RESCUED,1,11,0
0.0,35,0,PARTNER_RESCUED,1,2,0
0.0,35,1,TIMEOUT,0,3,1
0.0,35,2,TIMEOUT,0,4,1
0.0,35,3,TIMEOUT,0,5,2
0.0,35,4,TIMEOUT,0,6,2
0.0,35,5,TIMEOUT,0,7,0
0.0,35,6,TIMEOUT,0,8,0
0.0,35,7,RESOURCE_TAKEN,0,9,0
0.0,35,8,PARTNER_RESCUED,1,10,0
0.0,35,9,TIMEOUT,0,11,0
0.0,36,0,TIMEOUT,0,2,1
0.0,36,1,TIMEOUT,0,3,1
0.0,36,2,TIMEOUT,0,4,0
0.0,36,3,TIMEOUT,0,5,0
0.0,36,4,RESOURCE_TAKEN,0,6,0
0.0,36,5,PARTNER_RESCUED,1,7,0
0.0,36,6,TIMEOUT,0,8,2
0.0,36,7,TIMEOUT,0,9,0
0.0,36,8,TIMEOUT,0,10,1
0.0,36,9,TIMEOUT,0,11,2
0.0,37,0,PARTNER_RESCUED,1,2,0
0.0,37,1,TIMEOUT,0,3,1
0.0,37,2,TIMEOUT,0,4,0
0.0,37,3,PARTNER_RESCUED,1,5,0
0.0,37,4,TIMEOUT,0,6,0
0.0,37,5,TIMEOUT,0,7,1
0.0,37,6,TIMEOUT,0,8,1
0.0,37,7,TIMEOUT,0,9,2
0.0,37,8,TIMEOUT,0,10,0
0.0,37,9,TIMEOUT,0,11,0
0.0,38,0,PARTNER_RESCUED,1,2,0
0.0,38,1,TIMEOUT,0,3,1
0.0,38,2,TIMEOUT,0,4,2
0.0,38,3,TIMEOUT,0,5,2
0.0,38,4,TIMEOUT,0,6,3
0.0,38,5,TIMEOUT,0,7,1
0.0,38,6,TIMEOUT,0,8,3
0.0,38,7,RESOURCE_TAKEN,0,9,0
0.0,38,8,TIMEOUT,0,10,0
0.0,38,9,TIMEOUT,0,11,1
0.0,39,0,PARTNER_RESCUED,1,2,0
0.0,39,1,PARTNER_RESCUED,1,3,0
0.0,39,2,TIMEOUT,0,4,1
0.0,39,3,TIMEOUT,0,5,3
0.0,39,4,TIMEOUT,0,6,0
0.0,39,5,TIMEOUT,0,7,0
0.0,39,6,TIMEOUT,0,8,1
0.0,39,7,RESOURCE_TAKEN,0,9,0
0.0,39,8,PARTNER_DEAD,0,10,0
0.0,39,9,PARTNER_RESCUED,1,11,0
0.0,40,0,PARTNER_RESCUED,1,2,0
0.0,40,1,TIMEOUT,0,3,1
0.0,40,2,TIMEOUT,0,4,0
0.0,40,3,TIMEOUT,0,5,1
0.0,40,4,TIMEOUT,0,6,0
0.0,40,5,TIMEOUT,0,7,0
0.0,40,6,TIMEOUT,0,8,2
0.0,40,7,RESOURCE_TAKEN,0,9,0
0.0,40,8,TIMEOUT,0,10,1
0.0,40,9,PARTNER_RESCUED,1,11,0
0.0,41,0,PARTNER_RESCUED,1,2,0
0.0,41,1,TIMEOUT,0,3,0
0.0,41,2,TIMEOUT,0,4,0
0.0,41,3,TIMEOUT,0,5,2
0.0,41,4,TIMEOUT,0,6,2
0.0,41,5,TIMEOUT,0,7,0
0.0,41,6,RESOURCE_TAKEN,0,8,0
0.0,41,7,PARTNER_RESCUED,1,9,0
0.0,41,8,PARTNER_RESCUED,1,10,0
0.0,41,9,TIMEOUT,0,11,1
0.0,42,0,PARTNER_RESCUED,1,2,0
0.0,42,1,TIMEOUT,0,3,1
0.0,42,2,TIMEOUT,0,4,0
0.0,42,3,TIMEOUT,0,5,0
0.0,42,4,TIMEOUT,0,6,0
0.0,42,5,TIMEOUT,0,7,1
0.0,42,6,TIMEOUT,0,8,2
0.0,42,7,TIMEOUT,0,9,3
0.0,42,8,TIMEOUT,0,10,1
0.0,42,9,RESOURCE_TAKEN,0,11,0
0.0,43,0,PARTNER_RESCUED,1,2,0
0.0,43,1,TIMEOUT,0,3,1
0.0,43,2,TIMEOUT,0,4,1
0.0,43,3,TIMEOUT,0,5,1
0.0,43,4,TIMEOUT,0,6,1
0.0,43,5,TIMEOUT,0,7,1
0.0,43,6,TIMEOUT,0,8,2
0.0,43,7,TIMEOUT,0,9,1
0.0,43,8,TIMEOUT,0,10,0
0.0,43,9,TIMEOUT,0,11,2
0.0,44,0,TIMEOUT,0,2,1
0.0,44,1,TIMEOUT,0,3,2
0.0,44,2,TIMEOUT,0,4,1
0.0,44,3,TIMEOUT,0,5,2
0.0,44,4,TIMEOUT,0,6,2
0.0,44,5,TIMEOUT,0,7,0
0.0,44,6,TIMEOUT,0,8,0
0.0,44,7,TIMEOUT,0,9,0
0.0,44,8,TIMEOUT,0,10,1
0.0,44,9,TIMEOUT,0,11,1
0.0,45,0,TIMEOUT,0,2,0
0.0,45,1,TIMEOUT,0,3,2
0.0,45,2,TIMEOUT,0,4,0
0.0,45,3,TIMEOUT,0,5,2
0.0,45,4,TIMEOUT,0,6,0
0.0,45,5,TIMEOUT,0,7,1
0.0,45,6,TIMEOUT,0,8,1
0.0,45,7,TIMEOUT,0,9,1
0.0,45,8,TIMEOUT,0,10,1
0.0,45,9,TIMEOUT,0,11,2
0.0,46,0,PARTNER_RESCUED,1,2,0
