tau,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories,e_max,was_encoded
0.0,10,6,TIMEOUT,12,3,8,0.4717,1
0.0,10,7,TIMEOUT,12,2,9,0.4717,1
0.0,10,8,TIMEOUT,12,2,10,0.4717,1
0.0,10,9,TIMEOUT,12,3,11,0.4717,1
0.0,11,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,11,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,11,2,TIMEOUT,12,1,4,1.0,1
0.0,11,3,TIMEOUT,12,1,5,0.5565,1
0.0,11,4,TIMEOUT,12,2,6,0.4717,1
0.0,11,5,TIMEOUT,12,1,7,0.4717,1
0.0,11,6,TIMEOUT,12,0,8,0.4717,1
0.0,11,7,TIMEOUT,12,2,9,0.4717,1
0.0,11,8,TIMEOUT,12,2,10,0.4717,1
0.0,11,9,TIMEOUT,12,1,11,0.4717,1
0.0,12,0,TIMEOUT,12,1,2,1.0,1
0.0,12,1,TIMEOUT,12,1,3,0.7983,1
0.0,12,2,TIMEOUT,12,2,4,0.5791,1
0.0,12,3,TIMEOUT,12,1,5,0.4717,1
0.0,12,4,PARTNER_RESCUED,7,0,6,0.2276,1
0.0,12,5,TIMEOUT,12,0,7,1.0,1
0.0,12,6,TIMEOUT,12,1,8,0.4717,1
0.0,12,7,TIMEOUT,12,2,9,0.4717,1
0.0,12,8,TIMEOUT,12,0,10,0.4717,1
0.0,12,9,TIMEOUT,12,0,11,0.4717,1
0.0,13,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,13,1,TIMEOUT,12,1,3,1.0,1
0.0,13,2,TIMEOUT,12,1,4,0.6658,1
0.0,13,3,TIMEOUT,12,0,5,0.4733,1
0.0,13,4,TIMEOUT,12,2,6,0.4717,1
0.0,13,5,TIMEOUT,12,0,7,0.4717,1
0.0,13,6,TIMEOUT,12,2,8,0.4717,1
0.0,13,7,TIMEOUT,12,3,9,0.4717,1
0.0,13,8,RESOURCE_TAKEN,9,0,10,0.2517,1
0.0,13,9,PARTNER_RESCUED,6,0,11,1.0,1
0.0,14,0,TIMEOUT,12,1,2,1.0,1
0.0,14,1,TIMEOUT,12,0,3,0.8211,1
0.0,14,2,TIMEOUT,12,2,4,0.5756,1
0.0,14,3,TIMEOUT,12,0,5,0.4717,1
0.0,14,4,TIMEOUT,12,2,6,0.4717,1
0.0,14,5,TIMEOUT,12,0,7,0.4717,1
0.0,14,6,TIMEOUT,12,0,8,0.4717,1
0.0,14,7,RESOURCE_TAKEN,12,0,9,0.4717,1
0.0,14,8,TIMEOUT,12,0,10,1.0,1
0.0,14,9,TIMEOUT,12,1,11,1.0,1
0.0,15,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,15,1,TIMEOUT,12,1,3,1.0,1
0.0,15,2,TIMEOUT,12,2,4,0.6973,1
0.0,15,3,TIMEOUT,12,0,5,0.4836,1
0.0,15,4,TIMEOUT,12,1,6,0.4717,1
0.0,15,5,TIMEOUT,12,2,7,0.4717,1
0.0,15,6,RESOURCE_TAKEN,12,0,8,0.4717,1
