condition,sigma,seed_group,agent_id,episode_idx,outcome,rescued
control,0.0,0,6,12,TIMEOUT,0
control,0.0,0,6,13,PARTNER_RESCUED,1
control,0.0,0,6,14,PARTNER_RESCUED,1
control,0.0,0,6,15,PARTNER_RESCUED,1
control,0.0,0,6,16,TIMEOUT,0
control,0.0,0,6,17,PARTNER_DEAD,0
control,0.0,0,6,18,PARTNER_RESCUED,1
control,0.0,0,6,19,PARTNER_RESCUED,1
control,0.0,0,7,0,PARTNER_RESCUED,1
control,0.0,0,7,1,TIMEOUT,0
control,0.0,0,7,2,TIMEOUT,0
control,0.0,0,7,3,TIMEOUT,0
control,0.0,0,7,4,PARTNER_RESCUED,1
control,0.0,0,7,5,PARTNER_RESCUED,1
control,0.0,0,7,6,TIMEOUT,0
control,0.0,0,7,7,TIMEOUT,0
control,0.0,0,7,8,TIMEOUT,0
control,0.0,0,7,9,TIMEOUT,0
control,0.0,0,7,10,TIMEOUT,0
control,0.0,0,7,11,TIMEOUT,0
control,0.0,0,7,12,TIMEOUT,0
control,0.0,0,7,13,TIMEOUT,0
control,0.0,0,7,14,TIMEOUT,0
control,0.0,0,7,15,TIMEOUT,0
control,0.0,0,7,16,TIMEOUT,0
control,0.0,0,7,17,TIMEOUT,0
control,0.0,0,7,18,TIMEOUT,0
control,0.0,0,7,19,TIMEOUT,0
control,0.0,0,8,0,PARTNER_RESCUED,1
control,0.0,0,8,1,TIMEOUT,0
control,0.0,0,8,2,PARTNER_RESCUED,1
control,0.0,0,8,3,PARTNER_RESCUED,1
control,0.0,0,8,4,PARTNER_RESCUED,1
control,0.0,0,8,5,TIMEOUT,0
control,0.0,0,8,6,TIMEOUT,0
control,0.0,0,8,7,TIMEOUT,0
control,0.0,0,8,8,TIMEOUT,0
control,0.0,0,8,9,PARTNER_RESCUED,1
control,0.0,0,8,10,TIMEOUT,0
control,0.0,0,8,11,PARTNER_RESCUED,1
control,0.0,0,8,12,TIMEOUT,0
control,0.0,0,8,13,TIMEOUT,0
control,0.0,0,8,14,TIMEOUT,0
control,0.0,0,8,15,TIMEOUT,0
control,0.0,0,8,16,TIMEOUT,0
control,0.0,0,8,17,PARTNER_RESCUED,1
control,0.0,0,8,18,TIMEOUT,0
control,0.0,0,8,19,TIMEOUT,0
control,0.0,0,9,0,PARTNER_RESCUED,1
control,0.0,0,9,1,PARTNER_RESCUED,1
control,0.0,0,9,2,PARTNER_RESCUED,1
control,0.0,0,9,3,PARTNER_RESCUED,1
control,0.0,0,9,4,TIMEOUT,0
control,0.0,0,9,5,TIMEOUT,0
control,0.0,0,9,6,TIMEOUT,0
control,0.0,0,9,7,TIMEOUT,0
control,0.0,0,9,8,PARTNER_RESCUED,1
control,0.0,0,9,9,PARTNER_RESCUED,1
control,0.0,0,9,10,PARTNER_RESCUED,1
control,0.0,0,9,11,TIMEOUT,0
control,0.0,0,9,12,TIMEOUT,0
control,0.0,0,9,13,TIMEOUT,0
control,0.0,0,9,14,TIMEOUT,0
control,0.0,0,9,15,TIMEOUT,0
control,0.0,0,9,16,TIMEOUT,0
control,0.0,0,9,17,TIMEOUT,0
control,0.0,0,9,18,TIMEOUT,0
control,0.0,0,9,19,TIMEOUT,0
control,0.0,0,10,0,PARTNER_RESCUED,1
control,0.0,0,10,1,TIMEOUT,0
control,0.0,0,10,2,TIMEOUT,0
control,0.0,0,10,3,PARTNER_RESCUED,1
control,0.0,0,10,4,TIMEOUT,0
control,0.0,0,10,5,TIMEOUT,0
control,0.0,0,10,6,TIMEOUT,0
control,0.0,0,10,7,TIMEOUT,0
control,0.0,0,10,8,PARTNER_RESCUED,1
control,0.0,0,10,9,PARTNER_RESCUED,1
control,0.0,0,10,10,PARTNER_RESCUED,1
control,0.0,0,10,11,PARTNER_RESCUED,1
control,0.0,0,10,12,PARTNER_RESCUED,1
control,0.0,0,10,13,PARTNER_RESCUED,1
control,0.0,0,10,14,TIMEOUT,0
control,0.0,0,10,15,TIMEOUT,0
control,0.0,0,10,16,PARTNER_RESCUED,1
control,0.0,0,10,17,TIMEOUT,0
control,0.0,0,10,18,TIMEOUT,0
control,0.0,0,10,19,TIMEOUT,0
control,0.0,0,11,0,PARTNER_RESCUED,1
control,0.0,0,11,1,PARTNER_RESCUED,1
control,0.0,0,11,2,PARTNER_RESCUED,1
control,0.0,0,11,3,PARTNER_RESCUED,1
control,0.0,0,11,4,TIMEOUT,0
control,0.0,0,11,5,TIMEOUT,0
control,0.0,0,11,6,TIMEOUT,0
control,0.0,0,11,7,TIMEOUT,0
control,0.0,0,11,8,TIMEOUT,0
control,0.0,0,11,9,PARTNER_RESCUED,1
control,0.0,0,11,10,PARTNER_RESCUED,1
control,0.0,0,11,11,PARTNER_DEAD,0
control,0.0,0,11,12,PARTNER_RESCUED,1
control,0.0,0,11,13,PARTNER_RESCUED,1
control,0.0,0,11,14,PARTNER_RESCUED,1
control,0.0,0,11,15,PARTNER_RESCUED,1
control,0.0,0,11,16,TIMEOUT,0
control,0.0,0,11,17,TIMEOUT,0
control,0.0,0,11,18,PARTNER_RESCUED,1
control,0.0,0,11,19,TIMEOUT,0
control,0.0,0,12,0,PARTNER_RESCUED,1
control,0.0,0,12,1,TIMEOUT,0
control,0.0,0,12,2,TIMEOUT,0
control,0.0,0,12,3,TIMEOUT,0
control,0.0,0,12,4,TIMEOUT,0
control,0.0,0,12,5,TIMEOUT,0
control,0.0,0,12,6,TIMEOUT,0
control,0.0,0,12,7,TIMEOUT,0
control,0.0,0,12,8,TIMEOUT,0
control,0.0,0,12,9,TIMEOUT,0
control,0.0,0,12,10,PARTNER_RESCUED,1
control,0.0,0,12,11,TIMEOUT,0
control,0.0,0,12,12,TIMEOUT,0
control,0.0,0,12,13,TIMEOUT,0
control,0.0,0,12,14,TIMEOUT,0
control,0.0,0,12,15,TIMEOUT,0
control,0.0,0,12,16,TIMEOUT,0
control,0.0,0,12,17,TIMEOUT,0
control,0.0,0,12,18,TIMEOUT,0
control,0.0,0,12,19,TIMEOUT,0
control,0.0,0,13,0,PARTNER_RESCUED,1
control,0.0,0,13,1,PARTNER_RESCUED,1
control,0.0,0,13,2,PARTNER_RESCUED,1
control,0.0,0,13,3,PARTNER_RESCUED,1
control,0.0,0,13,4,PARTNER_RESCUED,1
control,0.0,0,13,5,PARTNER_RESCUED,1
control,0.0,0,13,6,TIMEOUT,0
control,0.0,0,13,7,TIMEOUT,0
control,0.0,0,13,8,TIMEOUT,0
control,0.0,0,13,9,TIMEOUT,0
control,0.0,0,13,10,TIMEOUT,0
control,0.0,0,13,11,TIMEOUT,0
control,0.0,0,13,12,TIMEOUT,0
control,0.0,0,13,13,TIMEOUT,0
control,0.0,0,13,14,TIMEOUT,0
control,0.0,0,13,15,TIMEOUT,0
control,0.0,0,13,16,TIMEOUT,0
control,0.0,0,13,17,TIMEOUT,0
control,0.0,0,13,18,TIMEOUT,0
control,0.0,0,13,19,TIMEOUT,0
control,0.0,0,14,0,PARTNER_RESCUED,1
control,0.0,0,14,1,PARTNER_RESCUED,1
control,0.0,0,14,2,TIMEOUT,0
control,0.0,0,14,3,TIMEOUT,0
control,0.0,0,14,4,TIMEOUT,0
control,0.0,0,14,5,PARTNER_RESCUED,1
control,0.0,0,14,6,TIMEOUT,0
control,0.0,0,14,7,PARTNER_RESCUED,1
control,0.0,0,14,8,TIMEOUT,0
control,0.0,0,14,9,TIMEOUT,0
control,0.0,0,14,10,TIMEOUT,0
control,0.0,0,14,11,TIMEOUT,0
control,0.0,0,14,12,TIMEOUT,0
control,0.0,0,14,13,TIMEOUT,0
control,0.0,0,14,14,TIMEOUT,0
control,0.0,0,14,15,TIMEOUT,0
control,0.0,0,14,16,TIMEOUT,0
control,0.0,0,14,17,TIMEOUT,0
control,0.0,0,14,18,TIMEOUT,0
control,0.0,0,14,19,TIMEOUT,0
control,0.0,0,15,0,PARTNER_RESCUED,1
control,0.0,0,15,1,PARTNER_RESCUED,1
control,0.0,0,15,2,TIMEOUT,0
control,0.0,0,15,3,TIMEOUT,0
control,0.0,0,15,4,TIMEOUT,0
control,0.0,0,15,5,TIMEOUT,0
control,0.0,0,15,6,PARTNER_DEAD,0
control,0.0,0,15,7,PARTNER_RESCUED,1
control,0.0,0,15,8,PARTNER_RESCUED,1
control,0.0,0,15,9,PARTNER_RESCUED,1
control,0.0,0,15,10,PARTNER_RESCUED,1
control,0.0,0,15,11,PARTNER_RESCUED,1
control,0.0,0,15,12,PARTNER_RESCUED,1
control,0.0,0,15,13,PARTNER_RESCUED,1
control,0.0,0,15,14,PARTNER_RESCUED,1
control,0.0,0,15,15,TIMEOUT,0
control,0.0,0,15,16,TIMEOUT,0
control,0.0,0,15,17,TIMEOUT,0
control,0.0,0,15,18,TIMEOUT,0
control,0.0,0,15,19,TIMEOUT,0
control,0.0,0,16,0,PARTNER_RESCUED,1
control,0.0,0,16,1,PARTNER_RESCUED,1
control,0.0,0,16,2,TIMEOUT,0
control,0.0,0,16,3,TIMEOUT,0
control,0.0,0,16,4,PARTNER_RESCUED,1
control,0.0,0,16,5,TIMEOUT,0
control,0.0,0,16,6,TIMEOUT,0
control,0.0,0,16,7,TIMEOUT,0
control,0.0,0,16,8,TIMEOUT,0
control,0.0,0,16,9,TIMEOUT,0
control,0.0,0,16,10,TIMEOUT,0
control,0.0,0,16,11,TIMEOUT,0
control,0.0,0,16,12,TIMEOUT,0
control,0.0,0,16,13,TIMEOUT,0
control,0.0,0,16,14,TIMEOUT,0
control,0.0,0,16,15,TIMEOUT,0
control,0.0,0,16,16,TIMEOUT,0
control,0.0,0,16,17,TIMEOUT,0
control,0.0,0,16,18,TIMEOUT,0
control,0.0,0,16,19,TIMEOUT,0
control,0.0,0,17,0,PARTNER_RESCUED,1
control,0.0,0,17,1,PARTNER_RESCUED,1
control,0.0,0,17,2,PARTNER_RESCUED,1
control,0.0,0,17,3,PARTNER_RESCUED,1
control,0.0,0,17,4,PARTNER_RESCUED,1
control,0.0,0,17,5,TIMEOUT,0
control,0.0,0,17,6,PARTNER_RESCUED,1
control,0.0,0,17,7,TIMEOUT,0
control,0.0,0,17,8,TIMEOUT,0
control,0.0,0,17,9,TIMEOUT,0
control,0.0,0,17,10,TIMEOUT,0
control,0.0,0,17,11,TIMEOUT,0
control,0.0,0,17,12,TIMEOUT,0
control,0.0,0,17,13,TIMEOUT,0
control,0.0,0,17,14,TIMEOUT,0
control,0.0,0,17,15,TIMEOUT,0
control,0.0,0,17,16,TIMEOUT,0
control,0.0,0,17,17,TIMEOUT,0
control,0.0,0,17,18,PARTNER_RESCUED,1
control,0.0,0,17,19,TIMEOUT,0
control,0.0,0,18,0,PARTNER_RESCUED,1
control,0.0,0,18,1,PARTNER_RESCUED,1
control,0.0,0,18,2,PARTNER_RESCUED,1
control,0.0,0,18,3,PARTNER_RESCUED,1
control,0.0,0,18,4,PARTNER_RESCUED,1
control,0.0,0,18,5,PARTNER_RESCUED,1
control,0.0,0,18,6,PARTNER_RESCUED,1
control,0.0,0,18,7,TIMEOUT,0
control,0.0,0,18,8,TIMEOUT,0
control,0.0,0,18,9,TIMEOUT,0
control,0.0,0,18,10,TIMEOUT,0
control,0.0,0,18,11,TIMEOUT,0
control,0.0,0,18,12,PARTNER_RESCUED,1
control,0.0,0,18,13,PARTNER_RESCUED,1
control,0.0,0,18,14,TIMEOUT,0
control,0.0,0,18,15,TIMEOUT,0
control,0.0,0,18,16,TIMEOUT,0
control,0.0,0,18,17,TIMEOUT,0
control,0.0,0,18,18,TIMEOUT,0
control,0.0,0,18,19,TIMEOUT,0
control,0.0,0,19,0,PARTNER_RESCUED,1
control,0.0,0,19,1,PARTNER_RESCUED,1
control,0.0,0,19,2,PARTNER_RESCUED,1
control,0.0,0,19,3,PARTNER_RESCUED,1
control,0.0,0,19,4,PARTNER_RESCUED,1
control,0.0,0,19,5,TIMEOUT,0
control,0.0,0,19,6,PARTNER_RESCUED,1
control,0.0,0,19,7,PARTNER_RESCUED,1
control,0.0,0,19,8,TIMEOUT,0
control,0.0,0,19,9,TIMEOUT,0
control,0.0,0,19,10,TIMEOUT,0
control,0.0,0,19,11,TIMEOUT,0
control,0.0,0,19,12,TIMEOUT,0
control,0.0,0,19,13,TIMEOUT,0
control,0.0,0,19,14,TIMEOUT,0
control,0.0,0,19,15,TIMEOUT,0
control,0.0,0,19,16,TIMEOUT,0
control,0.0,0,19,17,TIMEOUT,0
control,0.0,0,19,18,TIMEOUT,0
control,0.0,0,19,19,TIMEOUT,0
control,0.0,0,20,0,PARTNER_RESCUED,1
control,0.0,0,20,1,PARTNER_RESCUED,1
control,0.0,0,20,2,TIMEOUT,0
control,0.0,0,20,3,TIMEOUT,0
control,0.0,0,20,4,TIMEOUT,0
control,0.0,0,20,5,TIMEOUT,0
control,0.0,0,20,6,TIMEOUT,0
control,0.0,0,20,7,TIMEOUT,0
control,0.0,0,20,8,TIMEOUT,0
control,0.0,0,20,9,TIMEOUT,0
control,0.0,0,20,10,TIMEOUT,0
control,0.0,0,20,11,TIMEOUT,0
control,0.0,0,20,12,TIMEOUT,0
control,0.0,0,20,13,TIMEOUT,0
control,0.0,0,20,14,TIMEOUT,0
control,0.0,0,20,15,TIMEOUT,0
control,0.0,0,20,16,TIMEOUT,0
control,0.0,0,20,17,PARTNER_RESCUED,1
control,0.0,0,20,18,PARTNER_RESCUED,1
control,0.0,0,20,19,PARTNER_RESCUED,1
control,0.0,0,21,0,PARTNER_RESCUED,1
control,0.0,0,21,1,PARTNER_RESCUED,1
