inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,25,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,26,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,26,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,26,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,26,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,27,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,27,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,27,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,27,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,28,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,28,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,28,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,28,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,29,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,29,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,29,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,29,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,30,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,30,1,PARTNER_DEAD,0,3,1
off,0.05,0.05,1.0,30,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,30,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,31,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,31,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,31,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,31,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,32,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,32,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,32,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,32,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,33,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,33,1,TIMEOUT,0,3,3
off,0.05,0.05,1.0,33,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,33,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,34,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,34,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,34,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,34,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,35,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,35,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,35,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,35,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,36,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,36,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,36,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,36,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,37,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,37,1,TIMEOUT,0,3,0
