inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,8,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,8,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,8,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,8,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,8,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,8,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,8,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,8,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,8,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,9,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,9,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,9,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,9,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,9,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,9,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,9,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,9,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,9,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,9,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,10,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,10,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,10,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,10,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,10,4,TIMEOUT,0,6,0
off,0.05,0.05,1.0,10,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,10,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,10,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,10,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,10,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,11,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,11,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,11,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,11,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,11,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,11,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,11,6,TIMEOUT,0,8,2
off,0.05,0.05,1.0,11,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,11,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,11,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,12,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,12,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,12,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,12,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,12,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,12,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,12,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,12,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,12,8,TIMEOUT,0,10,0
