sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,11,10,TIMEOUT,0,12,0
0.0,11,11,TIMEOUT,0,13,2
0.0,11,12,TIMEOUT,0,14,2
0.0,11,13,TIMEOUT,0,15,0
0.0,11,14,TIMEOUT,0,16,1
0.0,11,15,PARTNER_RESCUED,1,17,0
0.0,11,16,TIMEOUT,0,18,1
0.0,11,17,TIMEOUT,0,19,2
0.0,11,18,TIMEOUT,0,20,0
0.0,11,19,TIMEOUT,0,21,0
0.0,12,0,PARTNER_RESCUED,1,2,0
0.0,12,1,PARTNER_RESCUED,1,3,0
0.0,12,2,PARTNER_RESCUED,1,4,0
0.0,12,3,PARTNER_RESCUED,1,5,0
0.0,12,4,TIMEOUT,0,6,1
0.0,12,5,TIMEOUT,0,7,1
0.0,12,6,TIMEOUT,0,8,0
0.0,12,7,TIMEOUT,0,9,1
0.0,12,8,TIMEOUT,0,10,1
0.0,12,9,PARTNER_RESCUED,1,11,0
0.0,12,10,PARTNER_RESCUED,1,12,0
0.0,12,11,TIMEOUT,0,13,0
0.0,12,12,PARTNER_RESCUED,1,14,0
0.0,12,13,TIMEOUT,0,15,2
0.0,12,14,TIMEOUT,0,16,0
0.0,12,15,TIMEOUT,0,17,1
0.0,12,16,TIMEOUT,0,18,0
0.0,12,17,TIMEOUT,0,19,1
0.0,12,18,PARTNER_RESCUED,1,20,0
0.0,12,19,PARTNER_RESCUED,1,21,0
0.0,13,0,PARTNER_RESCUED,1,2,0
0.0,13,1,TIMEOUT,0,3,0
0.0,13,2,PARTNER_RESCUED,1,4,0
0.0,13,3,TIMEOUT,0,5,1
0.0,13,4,TIMEOUT,0,6,1
0.0,13,5,TIMEOUT,0,7,2
0.0,13,6,TIMEOUT,0,8,0
0.0,13,7,TIMEOUT,0,9,0
0.0,13,8,TIMEOUT,0,10,0
0.0,13,9,TIMEOUT,0,11,1
0.0,13,10,TIMEOUT,0,12,2
0.0,13,11,RESOURCE_TAKEN,0,13,0
0.0,13,12,PARTNER_RESCUED,1,14,0
0.0,13,13,PARTNER_RESCUED,1,15,0
0.0,13,14,PARTNER_RESCUED,1,16,0
0.0,13,15,PARTNER_RESCUED,1,17,0
0.0,13,16,PARTNER_RESCUED,1,18,0
0.0,13,17,PARTNER_RESCUED,1,19,0
0.0,13,18,PARTNER_RESCUED,1,20,0
0.0,13,19,TIMEOUT,0,21,1
0.0,14,0,PARTNER_RESCUED,1,2,0
0.0,14,1,PARTNER_RESCUED,1,3,0
0.0,14,2,PARTNER_RESCUED,1,4,0
0.0,14,3,PARTNER_RESCUED,1,5,0
0.0,14,4,TIMEOUT,0,6,0
0.0,14,5,PARTNER_RESCUED,1,7,0
0.0,14,6,PARTNER_RESCUED,1,8,0
0.0,14,7,TIMEOUT,0,9,1
0.0,14,8,TIMEOUT,0,10,0
0.0,14,9,TIMEOUT,0,11,1
0.0,14,10,TIMEOUT,0,12,0
0.0,14,11,TIMEOUT,0,13,2
0.0,14,12,TIMEOUT,0,14,0
0.0,14,13,TIMEOUT,0,15,0
0.0,14,14,TIMEOUT,0,16,1
0.0,14,15,TIMEOUT,0,17,0
0.0,14,16,TIMEOUT,0,18,2
0.0,14,17,TIMEOUT,0,19,0
0.0,14,18,TIMEOUT,0,20,1
0.0,14,19,TIMEOUT,0,21,2
0.0,15,0,PARTNER_RESCUED,1,2,0
0.0,15,1,PARTNER_RESCUED,1,3,0
0.0,15,2,PARTNER_RESCUED,1,4,0
0.0,15,3,PARTNER_RESCUED,1,5,0
0.0,15,4,PARTNER_RESCUED,1,6,0
0.0,15,5,TIMEOUT,0,7,1
0.0,15,6,TIMEOUT,0,8,1
0.0,15,7,PARTNER_RESCUED,1,9,0
0.0,15,8,PARTNER_RESCUED,1,10,0
0.0,15,9,TIMEOUT,0,11,1
0.0,15,10,TIMEOUT,0,12,0
0.0,15,11,TIMEOUT,0,13,0
0.0,15,12,TIMEOUT,0,14,1
0.0,15,13,PARTNER_RESCUED,1,15,0
0.0,15,14,PARTNER_RESCUED,1,16,0
0.0,15,15,PARTNER_RESCUED,1,17,0
0.0,15,16,PARTNER_RESCUED,1,18,0
0.0,15,17,PARTNER_DEAD,0,19,0
0.0,15,18,PARTNER_RESCUED,1,20,0
0.0,15,19,PARTNER_RESCUED,1,21,0
0.0,16,0,PARTNER_RESCUED,1,2,0
0.0,16,1,PARTNER_RESCUED,1,3,0
0.0,16,2,TIMEOUT,0,4,1
0.0,16,3,PARTNER_RESCUED,1,5,0
0.0,16,4,TIMEOUT,0,6,1
0.0,16,5,PARTNER_RESCUED,1,7,0
0.0,16,6,PARTNER_RESCUED,1,8,0
0.0,16,7,PARTNER_RESCUED,1,9,0
0.0,16,8,PARTNER_DEAD,0,10,1
0.0,16,9,PARTNER_RESCUED,1,11,0
0.0,16,10,PARTNER_RESCUED,1,12,0
0.0,16,11,PARTNER_RESCUED,1,13,0
0.0,16,12,TIMEOUT,0,14,1
0.0,16,13,TIMEOUT,0,15,0
0.0,16,14,TIMEOUT,0,16,2
0.0,16,15,TIMEOUT,0,17,1
0.0,16,16,TIMEOUT,0,18,1
0.0,16,17,TIMEOUT,0,19,1
0.0,16,18,TIMEOUT,0,20,1
0.0,16,19,TIMEOUT,0,21,0
0.0,17,0,PARTNER_RESCUED,1,2,0
0.0,17,1,PARTNER_RESCUED,1,3,0
0.0,17,2,PARTNER_RESCUED,1,4,0
0.0,17,3,PARTNER_RESCUED,1,5,0
0.0,17,4,PARTNER_RESCUED,1,6,0
0.0,17,5,TIMEOUT,0,7,2
0.0,17,6,TIMEOUT,0,8,1
0.0,17,7,TIMEOUT,0,9,0
0.0,17,8,PARTNER_RESCUED,1,10,0
0.0,17,9,TIMEOUT,0,11,0
0.0,17,10,PARTNER_RESCUED,1,12,0
0.0,17,11,TIMEOUT,0,13,2
0.0,17,12,TIMEOUT,0,14,1
0.0,17,13,TIMEOUT,0,15,2
0.0,17,14,TIMEOUT,0,16,0
0.0,17,15,TIMEOUT,0,17,1
0.0,17,16,TIMEOUT,0,18,2
0.0,17,17,PARTNER_RESCUED,1,19,0
0.0,17,18,TIMEOUT,0,20,0
0.0,17,19,TIMEOUT,0,21,1
0.0,18,0,PARTNER_RESCUED,1,2,0
0.0,18,1,TIMEOUT,0,3,1
0.0,18,2,TIMEOUT,0,4,1
0.0,18,3,PARTNER_RESCUED,1,5,0
0.0,18,4,PARTNER_RESCUED,1,6,0
0.0,18,5,TIMEOUT,0,7,0
0.0,18,6,TIMEOUT,0,8,2
0.0,18,7,TIMEOUT,0,9,1
0.0,18,8,TIMEOUT,0,10,2
0.0,18,9,PARTNER_RESCUED,1,11,0
0.0,18,10,TIMEOUT,0,12,1
0.0,18,11,TIMEOUT,0,13,1
0.0,18,12,TIMEOUT,0,14,1
0.0,18,13,TIMEOUT,0,15,0
0.0,18,14,PARTNER_RESCUED,1,16,0
0.0,18,15,PARTNER_RESCUED,1,17,0
0.0,18,16,PARTNER_RESCUED,1,18,0
0.0,18,17,PARTNER_RESCUED,1,19,0
0.0,18,18,TIMEOUT,0,20,1
0.0,18,19,TIMEOUT,0,21,1
0.0,19,0,PARTNER_RESCUED,1,2,0
0.0,19,1,PARTNER_RESCUED,1,3,0
0.0,19,2,PARTNER_RESCUED,1,4,0
0.0,19,3,PARTNER_RESCUED,1,5,0
0.0,19,4,PARTNER_DEAD,0,6,1
0.0,19,5,PARTNER_RESCUED,1,7,0
0.0,19,6,PARTNER_RESCUED,1,8,0
0.0,19,7,TIMEOUT,0,9,1
0.0,19,8,PARTNER_RESCUED,1,10,0
0.0,19,9,PARTNER_RESCUED,1,11,0
0.0,19,10,TIMEOUT,0,12,1
0.0,19,11,TIMEOUT,0,13,1
0.0,19,12,TIMEOUT,0,14,1
0.0,19,13,TIMEOUT,0,15,0
0.0,19,14,TIMEOUT,0,16,2
0.0,19,15,TIMEOUT,0,17,2
0.0,19,16,TIMEOUT,0,18,2
0.0,19,17,PARTNER_RESCUED,1,19,0
0.0,19,18,PARTNER_RESCUED,1,20,0
0.0,19,19,TIMEOUT,0,21,1
0.0,20,0,PARTNER_RESCUED,1,2,0
0.0,20,1,PARTNER_RESCUED,1,3,0
0.0,20,2,TIMEOUT,0,4,1
0.0,20,3,PARTNER_RESCUED,1,5,0
0.0,20,4,TIMEOUT,0,6,1
0.0,20,5,PARTNER_RESCUED,1,7,0
0.0,20,6,PARTNER_RESCUED,1,8,0
0.0,20,7,PARTNER_RESCUED,1,9,0
0.0,20,8,PARTNER_RESCUED,1,10,0
0.0,20,9,PARTNER_RESCUED,1,11,0
0.0,20,10,PARTNER_RESCUED,1,12,0
0.0,20,11,PARTNER_RESCUED,1,13,0
0.0,20,12,PARTNER_RESCUED,1,14,0
0.0,20,13,PARTNER_RESCUED,1,15,0
0.0,20,14,PARTNER_RESCUED,1,16,0
0.0,20,15,PARTNER_RESCUED,1,17,0
0.0,20,16,TIMEOUT,0,18,0
0.0,20,17,TIMEOUT,0,19,1
0.0,20,18,TIMEOUT,0,20,2
0.0,20,19,TIMEOUT,0,21,1
0.0,21,0,PARTNER_RESCUED,1,2,0
0.0,21,1,PARTNER_RESCUED,1,3,0
0.0,21,2,PARTNER_RESCUED,1,4,0
0.0,21,3,TIMEOUT,0,5,1
0.0,21,4,TIMEOUT,0,6,1
0.0,21,5,PARTNER_RESCUED,1,7,0
0.0,21,6,PARTNER_RESCUED,1,8,0
0.0,21,7,TIMEOUT,0,9,1
0.0,21,8,TIMEOUT,0,10,0
0.0,21,9,PARTNER_RESCUED,1,11,0
0.0,21,10,PARTNER_RESCUED,1,12,0
0.0,21,11,PARTNER_RESCUED,1,13,0
0.0,21,12,PARTNER_RESCUED,1,14,0
0.0,21,13,TIMEOUT,0,15,1
0.0,21,14,TIMEOUT,0,16,2
0.0,21,15,TIMEOUT,0,17,1
0.0,21,16,TIMEOUT,0,18,2
0.0,21,17,TIMEOUT,0,19,1
0.0,21,18,TIMEOUT,0,20,0
0.0,21,19,TIMEOUT,0,21,0
0.0,22,0,PARTNER_RESCUED,1,2,0
0.0,22,1,PARTNER_RESCUED,1,3,0
0.0,22,2,PARTNER_RESCUED,1,4,0
0.0,22,3,TIMEOUT,0,5,1
0.0,22,4,TIMEOUT,0,6,2
0.0,22,5,PARTNER_RESCUED,1,7,0
0.0,22,6,PARTNER_RESCUED,1,8,0
0.0,22,7,PARTNER_RESCUED,1,9,0
0.0,22,8,PARTNER_RESCUED,1,10,0
0.0,22,9,PARTNER_RESCUED,1,11,0
0.0,22,10,PARTNER_RESCUED,1,12,0
0.0,22,11,PARTNER_RESCUED,1,13,0
