beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,11,3,TIMEOUT,0,5,1
0.05,0.05,11,4,PARTNER_RESCUED,1,6,0
0.05,0.05,11,5,TIMEOUT,0,7,2
0.05,0.05,11,6,TIMEOUT,0,8,1
0.05,0.05,11,7,TIMEOUT,0,9,0
0.05,0.05,11,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,11,9,PARTNER_RESCUED,1,11,0
0.05,0.05,12,0,PARTNER_RESCUED,1,2,0
0.05,0.05,12,1,TIMEOUT,0,3,1
0.05,0.05,12,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,12,3,PARTNER_RESCUED,1,5,0
0.05,0.05,12,4,PARTNER_RESCUED,1,6,0
0.05,0.05,12,5,TIMEOUT,0,7,1
0.05,0.05,12,6,TIMEOUT,0,8,0
0.05,0.05,12,7,TIMEOUT,0,9,0
0.05,0.05,12,8,TIMEOUT,0,10,0
0.05,0.05,12,9,TIMEOUT,0,11,0
0.05,0.05,13,0,PARTNER_RESCUED,1,2,0
0.05,0.05,13,1,TIMEOUT,0,3,0
0.05,0.05,13,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,13,3,PARTNER_RESCUED,1,5,0
0.05,0.05,13,4,PARTNER_RESCUED,1,6,0
0.05,0.05,13,5,TIMEOUT,0,7,1
0.05,0.05,13,6,TIMEOUT,0,8,1
0.05,0.05,13,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,13,8,PARTNER_RESCUED,1,10,0
0.05,0.05,13,9,PARTNER_RESCUED,1,11,0
0.05,0.05,14,0,PARTNER_DEAD,0,2,1
0.05,0.05,14,1,PARTNER_RESCUED,1,3,0
0.05,0.05,14,2,TIMEOUT,0,4,0
0.05,0.05,14,3,TIMEOUT,0,5,1
0.05,0.05,14,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,14,5,PARTNER_RESCUED,1,7,0
0.05,0.05,14,6,TIMEOUT,0,8,0
0.05,0.05,14,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,14,8,PARTNER_RESCUED,1,10,0
0.05,0.05,14,9,TIMEOUT,0,11,0
0.05,0.05,15,0,PARTNER_RESCUED,1,2,0
