mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.3,11,5,TIMEOUT,0,7
off,0.05,0.3,11,6,TIMEOUT,0,8
off,0.05,0.3,11,7,PARTNER_RESCUED,1,9
off,0.05,0.3,11,8,PARTNER_RESCUED,1,10
off,0.05,0.3,11,9,TIMEOUT,0,11
off,0.05,0.3,12,0,PARTNER_RESCUED,1,2
off,0.05,0.3,12,1,TIMEOUT,0,3
off,0.05,0.3,12,2,TIMEOUT,0,4
off,0.05,0.3,12,3,TIMEOUT,0,5
off,0.05,0.3,12,4,PARTNER_RESCUED,1,6
off,0.05,0.3,12,5,TIMEOUT,0,7
off,0.05,0.3,12,6,TIMEOUT,0,8
off,0.05,0.3,12,7,PARTNER_RESCUED,1,9
off,0.05,0.3,12,8,TIMEOUT,0,10
off,0.05,0.3,12,9,TIMEOUT,0,11
off,0.05,0.3,13,0,PARTNER_RESCUED,1,2
off,0.05,0.3,13,1,TIMEOUT,0,3
off,0.05,0.3,13,2,TIMEOUT,0,4
off,0.05,0.3,13,3,TIMEOUT,0,5
off,0.05,0.3,13,4,TIMEOUT,0,6
off,0.05,0.3,13,5,TIMEOUT,0,7
off,0.05,0.3,13,6,TIMEOUT,0,8
off,0.05,0.3,13,7,PARTNER_RESCUED,1,9
off,0.05,0.3,13,8,PARTNER_RESCUED,1,10
off,0.05,0.3,13,9,PARTNER_RESCUED,1,11
off,0.05,0.3,14,0,PARTNER_RESCUED,1,2
off,0.05,0.3,14,1,TIMEOUT,0,3
off,0.05,0.3,14,2,TIMEOUT,0,4
off,0.05,0.3,14,3,PARTNER_RESCUED,1,5
off,0.05,0.3,14,4,TIMEOUT,0,6
off,0.05,0.3,14,5,TIMEOUT,0,7
off,0.05,0.3,14,6,TIMEOUT,0,8
off,0.05,0.3,14,7,PARTNER_RESCUED,1,9
off,0.05,0.3,14,8,PARTNER_RESCUED,1,10
off,0.05,0.3,14,9,TIMEOUT,0,11
off,0.05,0.3,15,0,PARTNER_RESCUED,1,2
off,0.05,0.3,15,1,TIMEOUT,0,3
off,0.05,0.3,15,2,TIMEOUT,0,4
off,0.05,0.3,15,3,TIMEOUT,0,5
off,0.05,0.3,15,4,TIMEOUT,0,6
off,0.05,0.3,15,5,TIMEOUT,0,7
off,0.05,0.3,15,6,PARTNER_RESCUED,1,8
off,0.05,0.3,15,7,TIMEOUT,0,9
off,0.05,0.3,15,8,PARTNER_RESCUED,1,10
off,0.05,0.3,15,9,TIMEOUT,0,11
off,0.05,0.3,16,0,PARTNER_RESCUED,1,2
off,0.05,0.3,16,1,TIMEOUT,0,3
off,0.05,0.3,16,2,PARTNER_RESCUED,1,4
off,0.05,0.3,16,3,TIMEOUT,0,5
off,0.05,0.3,16,4,PARTNER_RESCUED,1,6
off,0.05,0.3,16,5,TIMEOUT,0,7
off,0.05,0.3,16,6,TIMEOUT,0,8
off,0.05,0.3,16,7,TIMEOUT,0,9
off,0.05,0.3,16,8,TIMEOUT,0,10
off,0.05,0.3,16,9,PARTNER_DEAD,0,11
off,0.05,0.3,17,0,PARTNER_RESCUED,1,2
off,0.05,0.3,17,1,RESOURCE_TAKEN,0,3
off,0.05,0.3,17,2,TIMEOUT,0,4
off,0.05,0.3,17,3,TIMEOUT,0,5
off,0.05,0.3,17,4,TIMEOUT,0,6
off,0.05,0.3,17,5,TIMEOUT,0,7
off,0.05,0.3,17,6,TIMEOUT,0,8
off,0.05,0.3,17,7,TIMEOUT,0,9
off,0.05,0.3,17,8,TIMEOUT,0,10
off,0.05,0.3,17,9,TIMEOUT,0,11
off,0.05,0.3,18,0,PARTNER_RESCUED,1,2
off,0.05,0.3,18,1,TIMEOUT,0,3
off,0.05,0.3,18,2,TIMEOUT,0,4
off,0.05,0.3,18,3,TIMEOUT,0,5
off,0.05,0.3,18,4,TIMEOUT,0,6
off,0.05,0.3,18,5,TIMEOUT,0,7
off,0.05,0.3,18,6,TIMEOUT,0,8
off,0.05,0.3,18,7,PARTNER_RESCUED,1,9
off,0.05,0.3,18,8,TIMEOUT,0,10
off,0.05,0.3,18,9,PARTNER_RESCUED,1,11
off,0.05,0.3,19,0,TIMEOUT,0,2
off,0.05,0.3,19,1,TIMEOUT,0,3
off,0.05,0.3,19,2,TIMEOUT,0,4
off,0.05,0.3,19,3,TIMEOUT,0,5
off,0.05,0.3,19,4,TIMEOUT,0,6
off,0.05,0.3,19,5,TIMEOUT,0,7
off,0.05,0.3,19,6,TIMEOUT,0,8
off,0.05,0.3,19,7,TIMEOUT,0,9
off,0.05,0.3,19,8,PARTNER_RESCUED,1,10
off,0.05,0.3,19,9,TIMEOUT,0,11
off,0.05,0.3,20,0,TIMEOUT,0,2
off,0.05,0.3,20,1,PARTNER_RESCUED,1,3
off,0.05,0.3,20,2,TIMEOUT,0,4
off,0.05,0.3,20,3,TIMEOUT,0,5
off,0.05,0.3,20,4,PARTNER_RESCUED,1,6
