t_snap,kappa,seeded_memory,episode,outcome,steps_used,target_switches,final_survival,final_guilt,final_loyalty,final_fear,final_curiosity
3,0.0,1,0,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,1,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,2,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,3,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,4,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,5,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,6,TIMEOUT,3,0,0.10999999999999999,0.6038143678290537,0.18999999999999997,0.015,0.0
3,0.0,1,7,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,8,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,9,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,10,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,11,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,12,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,13,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,14,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,15,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,16,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,17,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,18,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,19,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,20,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,21,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,22,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,23,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,24,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,25,TIMEOUT,3,0,0.10999999999999999,0.5994274177318557,0.18999999999999997,0.015,0.0
3,0.0,1,26,TIMEOUT,3,0,0.10999999999999999,0.6030998655960762,0.18999999999999997,0.015,0.0
3,0.0,1,27,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,28,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,29,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,30,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,31,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,32,TIMEOUT,3,0,0.10999999999999999,0.5993025172999638,0.18999999999999997,0.015,0.0
3,0.0,1,33,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,34,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,35,TIMEOUT,3,0,0.10999999999999999,0.5985880150669862,0.18999999999999997,0.015,0.0
3,0.0,1,36,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,37,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,38,TIMEOUT,3,0,0.10999999999999999,0.5994274177318557,0.18999999999999997,0.015,0.0
3,0.0,1,39,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,40,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,41,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,42,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,43,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,44,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,45,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,46,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,47,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,48,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,49,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,50,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,51,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,52,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,53,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,54,TIMEOUT,3,0,0.10999999999999999,0.5993025172999638,0.18999999999999997,0.015,0.0
3,0.0,1,55,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,56,TIMEOUT,3,0,0.10999999999999999,0.5945995150056893,0.18999999999999997,0.015,0.0
3,0.0,1,57,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,58,TIMEOUT,3,0,0.10999999999999999,0.6030998655960762,0.18999999999999997,0.015,0.0
3,0.0,1,59,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,60,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,61,TIMEOUT,3,0,0.10999999999999999,0.5985880150669862,0.18999999999999997,0.015,0.0
3,0.0,1,62,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,63,TIMEOUT,3,0,0.10999999999999999,0.6030998655960762,0.18999999999999997,0.015,0.0
3,0.0,1,64,TIMEOUT,3,0,0.10999999999999999,0.6038143678290537,0.18999999999999997,0.015,0.0
3,0.0,1,65,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,66,TIMEOUT,3,0,0.10999999999999999,0.5993025172999638,0.18999999999999997,0.015,0.0
3,0.0,1,67,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,68,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,69,TIMEOUT,3,0,0.10999999999999999,0.6037192227140753,0.18999999999999997,0.015,0.0
3,0.0,1,70,TIMEOUT,3,0,0.10999999999999999,0.6076326917423607,0.18999999999999997,0.015,0.0
3,0.0,1,71,TIMEOUT,3,0,0.10999999999999999,0.6056700939925943,0.18999999999999997,0.015,0.0
3,0.0,1,72,TIMEOUT,3,0,0.10999999999999999,0.6018634965505347,0.18999999999999997,0.015,0.0
3,0.0,1,73,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
3,0.0,1,74,TIMEOUT,3,0,0.10999999999999999,0.6068341772031951,0.18999999999999997,0.015,0.0
