mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.1,11,5,PARTNER_RESCUED,1,7
off,0.05,0.1,11,6,PARTNER_RESCUED,1,8
off,0.05,0.1,11,7,TIMEOUT,0,9
off,0.05,0.1,11,8,PARTNER_RESCUED,1,10
off,0.05,0.1,11,9,TIMEOUT,0,11
off,0.05,0.1,12,0,PARTNER_RESCUED,1,2
off,0.05,0.1,12,1,TIMEOUT,0,3
off,0.05,0.1,12,2,PARTNER_RESCUED,1,4
off,0.05,0.1,12,3,PARTNER_RESCUED,1,5
off,0.05,0.1,12,4,PARTNER_RESCUED,1,6
off,0.05,0.1,12,5,TIMEOUT,0,7
off,0.05,0.1,12,6,PARTNER_RESCUED,1,8
off,0.05,0.1,12,7,TIMEOUT,0,9
off,0.05,0.1,12,8,TIMEOUT,0,10
off,0.05,0.1,12,9,TIMEOUT,0,11
off,0.05,0.1,13,0,PARTNER_RESCUED,1,2
off,0.05,0.1,13,1,TIMEOUT,0,3
off,0.05,0.1,13,2,TIMEOUT,0,4
off,0.05,0.1,13,3,PARTNER_RESCUED,1,5
off,0.05,0.1,13,4,PARTNER_DEAD,0,6
off,0.05,0.1,13,5,PARTNER_RESCUED,1,7
off,0.05,0.1,13,6,TIMEOUT,0,8
off,0.05,0.1,13,7,PARTNER_RESCUED,1,9
off,0.05,0.1,13,8,TIMEOUT,0,10
off,0.05,0.1,13,9,TIMEOUT,0,11
off,0.05,0.1,14,0,PARTNER_RESCUED,1,2
off,0.05,0.1,14,1,TIMEOUT,0,3
off,0.05,0.1,14,2,PARTNER_RESCUED,1,4
off,0.05,0.1,14,3,TIMEOUT,0,5
off,0.05,0.1,14,4,PARTNER_RESCUED,1,6
off,0.05,0.1,14,5,PARTNER_RESCUED,1,7
off,0.05,0.1,14,6,TIMEOUT,0,8
off,0.05,0.1,14,7,TIMEOUT,0,9
off,0.05,0.1,14,8,TIMEOUT,0,10
off,0.05,0.1,14,9,PARTNER_RESCUED,1,11
off,0.05,0.1,15,0,PARTNER_RESCUED,1,2
off,0.05,0.1,15,1,TIMEOUT,0,3
off,0.05,0.1,15,2,PARTNER_RESCUED,1,4
off,0.05,0.1,15,3,TIMEOUT,0,5
off,0.05,0.1,15,4,TIMEOUT,0,6
off,0.05,0.1,15,5,PARTNER_RESCUED,1,7
off,0.05,0.1,15,6,TIMEOUT,0,8
off,0.05,0.1,15,7,TIMEOUT,0,9
off,0.05,0.1,15,8,PARTNER_RESCUED,1,10
off,0.05,0.1,15,9,PARTNER_RESCUED,1,11
off,0.05,0.1,16,0,PARTNER_RESCUED,1,2
off,0.05,0.1,16,1,TIMEOUT,0,3
off,0.05,0.1,16,2,PARTNER_DEAD,0,4
off,0.05,0.1,16,3,PARTNER_RESCUED,1,5
off,0.05,0.1,16,4,TIMEOUT,0,6
off,0.05,0.1,16,5,PARTNER_RESCUED,1,7
off,0.05,0.1,16,6,TIMEOUT,0,8
off,0.05,0.1,16,7,PARTNER_RESCUED,1,9
off,0.05,0.1,16,8,TIMEOUT,0,10
off,0.05,0.1,16,9,PARTNER_RESCUED,1,11
off,0.05,0.1,17,0,PARTNER_RESCUED,1,2
off,0.05,0.1,17,1,TIMEOUT,0,3
off,0.05,0.1,17,2,TIMEOUT,0,4
off,0.05,0.1,17,3,PARTNER_RESCUED,1,5
off,0.05,0.1,17,4,TIMEOUT,0,6
off,0.05,0.1,17,5,TIMEOUT,0,7
off,0.05,0.1,17,6,TIMEOUT,0,8
off,0.05,0.1,17,7,TIMEOUT,0,9
off,0.05,0.1,17,8,TIMEOUT,0,10
off,0.05,0.1,17,9,TIMEOUT,0,11
off,0.05,0.1,18,0,PARTNER_RESCUED,1,2
off,0.05,0.1,18,1,TIMEOUT,0,3
off,0.05,0.1,18,2,PARTNER_RESCUED,1,4
off,0.05,0.1,18,3,TIMEOUT,0,5
off,0.05,0.1,18,4,TIMEOUT,0,6
off,0.05,0.1,18,5,TIMEOUT,0,7
off,0.05,0.1,18,6,TIMEOUT,0,8
off,0.05,0.1,18,7,PARTNER_RESCUED,1,9
off,0.05,0.1,18,8,TIMEOUT,0,10
off,0.05,0.1,18,9,TIMEOUT,0,11
off,0.05,0.1,19,0,PARTNER_RESCUED,1,2
off,0.05,0.1,19,1,TIMEOUT,0,3
off,0.05,0.1,19,2,TIMEOUT,0,4
off,0.05,0.1,19,3,TIMEOUT,0,5
off,0.05,0.1,19,4,PARTNER_RESCUED,1,6
off,0.05,0.1,19,5,PARTNER_RESCUED,1,7
off,0.05,0.1,19,6,TIMEOUT,0,8
off,0.05,0.1,19,7,TIMEOUT,0,9
off,0.05,0.1,19,8,PARTNER_RESCUED,1,10
off,0.05,0.1,19,9,TIMEOUT,0,11
off,0.05,0.1,20,0,PARTNER_RESCUED,1,2
off,0.05,0.1,20,1,TIMEOUT,0,3
off,0.05,0.1,20,2,TIMEOUT,0,4
off,0.05,0.1,20,3,TIMEOUT,0,5
off,0.05,0.1,20,4,TIMEOUT,0,6
off,0.05,0.1,20,5,PARTNER_DEAD,0,7
off,0.05,0.1,20,6,PARTNER_RESCUED,1,8
off,0.05,0.1,20,7,TIMEOUT,0,9
off,0.05,0.1,20,8,PARTNER_RESCUED,1,10
off,0.05,0.1,20,9,TIMEOUT,0,11
off,0.05,0.1,21,0,PARTNER_RESCUED,1,2
off,0.05,0.1,21,1,TIMEOUT,0,3
