condition,mem_capacity,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
baseline,9999,0.0,45,8,TIMEOUT,0,10,2
baseline,9999,0.0,45,9,TIMEOUT,0,11,3
baseline,9999,0.0,46,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,46,1,PARTNER_DEAD,0,3,0
baseline,9999,0.0,46,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,46,3,PARTNER_RESCUED,1,5,0
baseline,9999,0.0,46,4,TIMEOUT,0,6,1
baseline,9999,0.0,46,5,TIMEOUT,0,7,1
baseline,9999,0.0,46,6,TIMEOUT,0,8,0
baseline,9999,0.0,46,7,TIMEOUT,0,9,0
baseline,9999,0.0,46,8,TIMEOUT,0,10,1
baseline,9999,0.0,46,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,47,0,TIMEOUT,0,2,0
baseline,9999,0.0,47,1,TIMEOUT,0,3,1
baseline,9999,0.0,47,2,TIMEOUT,0,4,1
baseline,9999,0.0,47,3,TIMEOUT,0,5,1
baseline,9999,0.0,47,4,TIMEOUT,0,6,1
baseline,9999,0.0,47,5,TIMEOUT,0,7,0
baseline,9999,0.0,47,6,TIMEOUT,0,8,1
baseline,9999,0.0,47,7,TIMEOUT,0,9,1
baseline,9999,0.0,47,8,TIMEOUT,0,10,2
baseline,9999,0.0,47,9,TIMEOUT,0,11,1
baseline,9999,0.0,48,0,TIMEOUT,0,2,0
baseline,9999,0.0,48,1,TIMEOUT,0,3,0
baseline,9999,0.0,48,2,RESOURCE_TAKEN,0,4,0
baseline,9999,0.0,48,3,PARTNER_RESCUED,1,5,0
baseline,9999,0.0,48,4,TIMEOUT,0,6,0
baseline,9999,0.0,48,5,PARTNER_DEAD,0,7,0
baseline,9999,0.0,48,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,48,7,TIMEOUT,0,9,1
baseline,9999,0.0,48,8,TIMEOUT,0,10,1
baseline,9999,0.0,48,9,TIMEOUT,0,11,1
baseline,9999,0.0,49,0,TIMEOUT,0,2,1
baseline,9999,0.0,49,1,TIMEOUT,0,3,2
baseline,9999,0.0,49,2,TIMEOUT,0,4,2
baseline,9999,0.0,49,3,RESOURCE_TAKEN,0,5,0
baseline,9999,0.0,49,4,TIMEOUT,0,6,1
baseline,9999,0.0,49,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,49,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,49,7,TIMEOUT,0,9,2
baseline,9999,0.0,49,8,TIMEOUT,0,10,2
baseline,9999,0.0,49,9,TIMEOUT,0,11,1
baseline,9999,0.0,50,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,50,1,TIMEOUT,0,3,1
baseline,9999,0.0,50,2,TIMEOUT,0,4,1
baseline,9999,0.0,50,3,TIMEOUT,0,5,0
baseline,9999,0.0,50,4,PARTNER_DEAD,0,6,0
baseline,9999,0.0,50,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,50,6,TIMEOUT,0,8,0
baseline,9999,0.0,50,7,TIMEOUT,0,9,1
baseline,9999,0.0,50,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,50,9,TIMEOUT,0,11,1
baseline,9999,0.0,51,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,51,1,TIMEOUT,0,3,2
baseline,9999,0.0,51,2,TIMEOUT,0,4,0
baseline,9999,0.0,51,3,TIMEOUT,0,5,0
baseline,9999,0.0,51,4,TIMEOUT,0,6,0
baseline,9999,0.0,51,5,TIMEOUT,0,7,0
baseline,9999,0.0,51,6,TIMEOUT,0,8,2
baseline,9999,0.0,51,7,TIMEOUT,0,9,2
baseline,9999,0.0,51,8,TIMEOUT,0,10,2
baseline,9999,0.0,51,9,TIMEOUT,0,11,0
baseline,9999,0.0,52,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,52,1,TIMEOUT,0,3,1
baseline,9999,0.0,52,2,TIMEOUT,0,4,1
baseline,9999,0.0,52,3,TIMEOUT,0,5,1
baseline,9999,0.0,52,4,TIMEOUT,0,6,0
baseline,9999,0.0,52,5,TIMEOUT,0,7,0
baseline,9999,0.0,52,6,TIMEOUT,0,8,0
baseline,9999,0.0,52,7,TIMEOUT,0,9,0
baseline,9999,0.0,52,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,52,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,53,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,53,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,53,2,TIMEOUT,0,4,2
baseline,9999,0.0,53,3,TIMEOUT,0,5,0
baseline,9999,0.0,53,4,TIMEOUT,0,6,1
baseline,9999,0.0,53,5,TIMEOUT,0,7,0
baseline,9999,0.0,53,6,TIMEOUT,0,8,1
baseline,9999,0.0,53,7,TIMEOUT,0,9,0
baseline,9999,0.0,53,8,TIMEOUT,0,10,2
baseline,9999,0.0,53,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,54,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,54,1,TIMEOUT,0,3,1
baseline,9999,0.0,54,2,TIMEOUT,0,4,1
baseline,9999,0.0,54,3,TIMEOUT,0,5,2
baseline,9999,0.0,54,4,TIMEOUT,0,6,1
baseline,9999,0.0,54,5,TIMEOUT,0,7,0
baseline,9999,0.0,54,6,TIMEOUT,0,8,0
baseline,9999,0.0,54,7,TIMEOUT,0,9,0
baseline,9999,0.0,54,8,TIMEOUT,0,10,2
baseline,9999,0.0,54,9,TIMEOUT,0,11,0
baseline,9999,0.0,55,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,55,1,TIMEOUT,0,3,1
baseline,9999,0.0,55,2,TIMEOUT,0,4,1
baseline,9999,0.0,55,3,TIMEOUT,0,5,2
baseline,9999,0.0,55,4,TIMEOUT,0,6,2
baseline,9999,0.0,55,5,TIMEOUT,0,7,1
baseline,9999,0.0,55,6,TIMEOUT,0,8,2
baseline,9999,0.0,55,7,TIMEOUT,0,9,1
baseline,9999,0.0,55,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,55,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,56,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,56,1,TIMEOUT,0,3,1
baseline,9999,0.0,56,2,TIMEOUT,0,4,2
baseline,9999,0.0,56,3,TIMEOUT,0,5,0
baseline,9999,0.0,56,4,TIMEOUT,0,6,2
baseline,9999,0.0,56,5,TIMEOUT,0,7,0
baseline,9999,0.0,56,6,TIMEOUT,0,8,0
baseline,9999,0.0,56,7,TIMEOUT,0,9,1
baseline,9999,0.0,56,8,RESOURCE_TAKEN,0,10,1
baseline,9999,0.0,56,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,57,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,57,1,TIMEOUT,0,3,0
baseline,9999,0.0,57,2,TIMEOUT,0,4,1
baseline,9999,0.0,57,3,TIMEOUT,0,5,1
baseline,9999,0.0,57,4,TIMEOUT,0,6,2
baseline,9999,0.0,57,5,TIMEOUT,0,7,1
baseline,9999,0.0,57,6,RESOURCE_TAKEN,0,8,1
baseline,9999,0.0,57,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,57,8,TIMEOUT,0,10,1
baseline,9999,0.0,57,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,58,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,58,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,58,2,PARTNER_DEAD,0,4,0
baseline,9999,0.0,58,3,PARTNER_RESCUED,1,5,0
baseline,9999,0.0,58,4,TIMEOUT,0,6,1
baseline,9999,0.0,58,5,PARTNER_DEAD,0,7,0
baseline,9999,0.0,58,6,TIMEOUT,0,8,0
baseline,9999,0.0,58,7,TIMEOUT,0,9,0
baseline,9999,0.0,58,8,TIMEOUT,0,10,1
baseline,9999,0.0,58,9,TIMEOUT,0,11,0
baseline,9999,0.0,59,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,59,1,TIMEOUT,0,3,1
baseline,9999,0.0,59,2,TIMEOUT,0,4,2
baseline,9999,0.0,59,3,TIMEOUT,0,5,0
baseline,9999,0.0,59,4,TIMEOUT,0,6,0
baseline,9999,0.0,59,5,TIMEOUT,0,7,0
baseline,9999,0.0,59,6,TIMEOUT,0,8,0
baseline,9999,0.0,59,7,TIMEOUT,0,9,0
baseline,9999,0.0,59,8,TIMEOUT,0,10,0
baseline,9999,0.0,59,9,TIMEOUT,0,11,0
baseline,9999,0.0,60,0,TIMEOUT,0,2,0
baseline,9999,0.0,60,1,TIMEOUT,0,3,0
baseline,9999,0.0,60,2,TIMEOUT,0,4,0
baseline,9999,0.0,60,3,TIMEOUT,0,5,2
baseline,9999,0.0,60,4,RESOURCE_TAKEN,0,6,0
baseline,9999,0.0,60,5,TIMEOUT,0,7,1
baseline,9999,0.0,60,6,TIMEOUT,0,8,1
baseline,9999,0.0,60,7,TIMEOUT,0,9,0
baseline,9999,0.0,60,8,TIMEOUT,0,10,1
baseline,9999,0.0,60,9,RESOURCE_TAKEN,0,11,1
baseline,9999,0.0,61,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,61,1,TIMEOUT,0,3,0
baseline,9999,0.0,61,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,61,3,TIMEOUT,0,5,0
baseline,9999,0.0,61,4,TIMEOUT,0,6,0
baseline,9999,0.0,61,5,TIMEOUT,0,7,0
baseline,9999,0.0,61,6,TIMEOUT,0,8,1
baseline,9999,0.0,61,7,TIMEOUT,0,9,1
baseline,9999,0.0,61,8,TIMEOUT,0,10,1
baseline,9999,0.0,61,9,TIMEOUT,0,11,0
baseline,9999,0.0,62,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,62,1,TIMEOUT,0,3,2
baseline,9999,0.0,62,2,TIMEOUT,0,4,1
baseline,9999,0.0,62,3,TIMEOUT,0,5,0
baseline,9999,0.0,62,4,TIMEOUT,0,6,0
baseline,9999,0.0,62,5,TIMEOUT,0,7,1
baseline,9999,0.0,62,6,RESOURCE_TAKEN,0,8,1
baseline,9999,0.0,62,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,62,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,62,9,TIMEOUT,0,11,1
baseline,9999,0.0,63,0,TIMEOUT,0,2,0
baseline,9999,0.0,63,1,TIMEOUT,0,3,0
baseline,9999,0.0,63,2,TIMEOUT,0,4,2
baseline,9999,0.0,63,3,RESOURCE_TAKEN,0,5,0
baseline,9999,0.0,63,4,TIMEOUT,0,6,1
baseline,9999,0.0,63,5,TIMEOUT,0,7,0
baseline,9999,0.0,63,6,TIMEOUT,0,8,1
baseline,9999,0.0,63,7,TIMEOUT,0,9,0
baseline,9999,0.0,63,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,63,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,64,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,64,1,TIMEOUT,0,3,1
baseline,9999,0.0,64,2,TIMEOUT,0,4,2
baseline,9999,0.0,64,3,TIMEOUT,0,5,3
baseline,9999,0.0,64,4,TIMEOUT,0,6,0
baseline,9999,0.0,64,5,TIMEOUT,0,7,0
baseline,9999,0.0,64,6,TIMEOUT,0,8,2
baseline,9999,0.0,64,7,TIMEOUT,0,9,0
baseline,9999,0.0,64,8,TIMEOUT,0,10,0
baseline,9999,0.0,64,9,TIMEOUT,0,11,0
baseline,9999,0.0,65,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,65,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,65,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,65,3,TIMEOUT,0,5,1
baseline,9999,0.0,65,4,TIMEOUT,0,6,3
baseline,9999,0.0,65,5,TIMEOUT,0,7,0
baseline,9999,0.0,65,6,TIMEOUT,0,8,2
baseline,9999,0.0,65,7,TIMEOUT,0,9,1
baseline,9999,0.0,65,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,65,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,66,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,66,1,TIMEOUT,0,3,2
baseline,9999,0.0,66,2,TIMEOUT,0,4,0
baseline,9999,0.0,66,3,TIMEOUT,0,5,1
baseline,9999,0.0,66,4,TIMEOUT,0,6,1
baseline,9999,0.0,66,5,TIMEOUT,0,7,1
baseline,9999,0.0,66,6,TIMEOUT,0,8,2
baseline,9999,0.0,66,7,TIMEOUT,0,9,1
baseline,9999,0.0,66,8,TIMEOUT,0,10,2
baseline,9999,0.0,66,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,67,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,67,1,PARTNER_DEAD,0,3,1
baseline,9999,0.0,67,2,TIMEOUT,0,4,1
baseline,9999,0.0,67,3,PARTNER_RESCUED,1,5,0
baseline,9999,0.0,67,4,TIMEOUT,0,6,1
baseline,9999,0.0,67,5,TIMEOUT,0,7,2
baseline,9999,0.0,67,6,TIMEOUT,0,8,1
baseline,9999,0.0,67,7,TIMEOUT,0,9,0
baseline,9999,0.0,67,8,TIMEOUT,0,10,0
baseline,9999,0.0,67,9,TIMEOUT,0,11,1
baseline,9999,0.0,68,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,68,1,TIMEOUT,0,3,0
baseline,9999,0.0,68,2,RESOURCE_TAKEN,0,4,0
baseline,9999,0.0,68,3,PARTNER_RESCUED,1,5,0
baseline,9999,0.0,68,4,PARTNER_RESCUED,1,6,0
baseline,9999,0.0,68,5,TIMEOUT,0,7,1
baseline,9999,0.0,68,6,TIMEOUT,0,8,0
baseline,9999,0.0,68,7,TIMEOUT,0,9,2
baseline,9999,0.0,68,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,68,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,69,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,69,1,TIMEOUT,0,3,1
baseline,9999,0.0,69,2,TIMEOUT,0,4,2
baseline,9999,0.0,69,3,TIMEOUT,0,5,1
baseline,9999,0.0,69,4,RESOURCE_TAKEN,0,6,1
baseline,9999,0.0,69,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,69,6,TIMEOUT,0,8,1
baseline,9999,0.0,69,7,TIMEOUT,0,9,0
baseline,9999,0.0,69,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,69,9,TIMEOUT,0,11,0
baseline,9999,0.0,70,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,70,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,70,2,TIMEOUT,0,4,1
baseline,9999,0.0,70,3,TIMEOUT,0,5,1
baseline,9999,0.0,70,4,TIMEOUT,0,6,1
baseline,9999,0.0,70,5,TIMEOUT,0,7,0
baseline,9999,0.0,70,6,TIMEOUT,0,8,0
baseline,9999,0.0,70,7,TIMEOUT,0,9,0
baseline,9999,0.0,70,8,TIMEOUT,0,10,0
baseline,9999,0.0,70,9,TIMEOUT,0,11,1
baseline,9999,0.0,71,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,71,1,TIMEOUT,0,3,1
baseline,9999,0.0,71,2,TIMEOUT,0,4,1
baseline,9999,0.0,71,3,TIMEOUT,0,5,1
baseline,9999,0.0,71,4,TIMEOUT,0,6,2
baseline,9999,0.0,71,5,TIMEOUT,0,7,2
baseline,9999,0.0,71,6,TIMEOUT,0,8,2
baseline,9999,0.0,71,7,TIMEOUT,0,9,0
baseline,9999,0.0,71,8,TIMEOUT,0,10,1
baseline,9999,0.0,71,9,TIMEOUT,0,11,2
baseline,9999,0.0,72,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,72,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,72,2,TIMEOUT,0,4,0
baseline,9999,0.0,72,3,TIMEOUT,0,5,1
baseline,9999,0.0,72,4,TIMEOUT,0,6,0
baseline,9999,0.0,72,5,TIMEOUT,0,7,1
baseline,9999,0.0,72,6,TIMEOUT,0,8,1
baseline,9999,0.0,72,7,TIMEOUT,0,9,2
baseline,9999,0.0,72,8,TIMEOUT,0,10,0
baseline,9999,0.0,72,9,TIMEOUT,0,11,2
baseline,9999,0.0,73,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,73,1,TIMEOUT,0,3,2
baseline,9999,0.0,73,2,TIMEOUT,0,4,0
baseline,9999,0.0,73,3,TIMEOUT,0,5,0
baseline,9999,0.0,73,4,TIMEOUT,0,6,2
baseline,9999,0.0,73,5,TIMEOUT,0,7,1
baseline,9999,0.0,73,6,TIMEOUT,0,8,3
baseline,9999,0.0,73,7,TIMEOUT,0,9,0
baseline,9999,0.0,73,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,73,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,74,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,74,1,TIMEOUT,0,3,1
baseline,9999,0.0,74,2,TIMEOUT,0,4,3
baseline,9999,0.0,74,3,TIMEOUT,0,5,2
baseline,9999,0.0,74,4,TIMEOUT,0,6,1
baseline,9999,0.0,74,5,TIMEOUT,0,7,1
baseline,9999,0.0,74,6,RESOURCE_TAKEN,0,8,1
baseline,9999,0.0,74,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,74,8,PARTNER_DEAD,0,10,0
baseline,9999,0.0,74,9,TIMEOUT,0,11,0
baseline,9999,0.0,75,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,75,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,75,2,TIMEOUT,0,4,1
baseline,9999,0.0,75,3,TIMEOUT,0,5,1
baseline,9999,0.0,75,4,TIMEOUT,0,6,2
baseline,9999,0.0,75,5,TIMEOUT,0,7,1
baseline,9999,0.0,75,6,TIMEOUT,0,8,0
baseline,9999,0.0,75,7,TIMEOUT,0,9,0
baseline,9999,0.0,75,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,75,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,76,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,76,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,76,2,PARTNER_RESCUED,1,4,0
baseline,9999,0.0,76,3,TIMEOUT,0,5,1
baseline,9999,0.0,76,4,TIMEOUT,0,6,1
baseline,9999,0.0,76,5,TIMEOUT,0,7,0
baseline,9999,0.0,76,6,TIMEOUT,0,8,1
baseline,9999,0.0,76,7,TIMEOUT,0,9,3
baseline,9999,0.0,76,8,TIMEOUT,0,10,0
baseline,9999,0.0,76,9,TIMEOUT,0,11,2
baseline,9999,0.0,77,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,77,1,TIMEOUT,0,3,2
baseline,9999,0.0,77,2,TIMEOUT,0,4,1
baseline,9999,0.0,77,3,TIMEOUT,0,5,2
baseline,9999,0.0,77,4,RESOURCE_TAKEN,0,6,0
baseline,9999,0.0,77,5,TIMEOUT,0,7,1
baseline,9999,0.0,77,6,TIMEOUT,0,8,0
baseline,9999,0.0,77,7,TIMEOUT,0,9,1
baseline,9999,0.0,77,8,TIMEOUT,0,10,3
baseline,9999,0.0,77,9,TIMEOUT,0,11,0
baseline,9999,0.0,78,0,TIMEOUT,0,2,1
baseline,9999,0.0,78,1,TIMEOUT,0,3,0
baseline,9999,0.0,78,2,TIMEOUT,0,4,2
baseline,9999,0.0,78,3,TIMEOUT,0,5,1
baseline,9999,0.0,78,4,TIMEOUT,0,6,0
baseline,9999,0.0,78,5,RESOURCE_TAKEN,0,7,1
baseline,9999,0.0,78,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,78,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,78,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,78,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,79,0,TIMEOUT,0,2,1
baseline,9999,0.0,79,1,TIMEOUT,0,3,0
baseline,9999,0.0,79,2,RESOURCE_TAKEN,0,4,0
baseline,9999,0.0,79,3,TIMEOUT,0,5,1
baseline,9999,0.0,79,4,TIMEOUT,0,6,1
baseline,9999,0.0,79,5,TIMEOUT,0,7,1
baseline,9999,0.0,79,6,TIMEOUT,0,8,1
baseline,9999,0.0,79,7,TIMEOUT,0,9,0
baseline,9999,0.0,79,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,79,9,TIMEOUT,0,11,1
baseline,9999,0.0,80,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,80,1,TIMEOUT,0,3,0
baseline,9999,0.0,80,2,TIMEOUT,0,4,1
baseline,9999,0.0,80,3,TIMEOUT,0,5,2
baseline,9999,0.0,80,4,TIMEOUT,0,6,0
baseline,9999,0.0,80,5,TIMEOUT,0,7,2
baseline,9999,0.0,80,6,TIMEOUT,0,8,0
baseline,9999,0.0,80,7,TIMEOUT,0,9,0
baseline,9999,0.0,80,8,TIMEOUT,0,10,0
baseline,9999,0.0,80,9,TIMEOUT,0,11,2
baseline,9999,0.0,81,0,TIMEOUT,0,2,1
baseline,9999,0.0,81,1,TIMEOUT,0,3,0
baseline,9999,0.0,81,2,TIMEOUT,0,4,2
baseline,9999,0.0,81,3,TIMEOUT,0,5,0
baseline,9999,0.0,81,4,TIMEOUT,0,6,1
baseline,9999,0.0,81,5,TIMEOUT,0,7,2
baseline,9999,0.0,81,6,TIMEOUT,0,8,1
baseline,9999,0.0,81,7,TIMEOUT,0,9,3
baseline,9999,0.0,81,8,TIMEOUT,0,10,0
baseline,9999,0.0,81,9,TIMEOUT,0,11,0
baseline,9999,0.0,82,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,82,1,TIMEOUT,0,3,0
baseline,9999,0.0,82,2,TIMEOUT,0,4,1
baseline,9999,0.0,82,3,TIMEOUT,0,5,2
baseline,9999,0.0,82,4,TIMEOUT,0,6,0
baseline,9999,0.0,82,5,TIMEOUT,0,7,2
baseline,9999,0.0,82,6,TIMEOUT,0,8,1
baseline,9999,0.0,82,7,TIMEOUT,0,9,0
baseline,9999,0.0,82,8,TIMEOUT,0,10,0
baseline,9999,0.0,82,9,TIMEOUT,0,11,1
baseline,9999,0.0,83,0,TIMEOUT,0,2,1
baseline,9999,0.0,83,1,TIMEOUT,0,3,1
baseline,9999,0.0,83,2,TIMEOUT,0,4,2
baseline,9999,0.0,83,3,TIMEOUT,0,5,1
baseline,9999,0.0,83,4,TIMEOUT,0,6,0
baseline,9999,0.0,83,5,RESOURCE_TAKEN,0,7,0
baseline,9999,0.0,83,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,83,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,83,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,83,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,84,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,84,1,TIMEOUT,0,3,1
baseline,9999,0.0,84,2,TIMEOUT,0,4,2
baseline,9999,0.0,84,3,TIMEOUT,0,5,0
baseline,9999,0.0,84,4,TIMEOUT,0,6,0
baseline,9999,0.0,84,5,TIMEOUT,0,7,1
baseline,9999,0.0,84,6,TIMEOUT,0,8,2
baseline,9999,0.0,84,7,TIMEOUT,0,9,2
baseline,9999,0.0,84,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,84,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,85,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,85,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,85,2,TIMEOUT,0,4,0
baseline,9999,0.0,85,3,TIMEOUT,0,5,2
baseline,9999,0.0,85,4,TIMEOUT,0,6,1
baseline,9999,0.0,85,5,RESOURCE_TAKEN,0,7,0
baseline,9999,0.0,85,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,85,7,TIMEOUT,0,9,1
baseline,9999,0.0,85,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,85,9,TIMEOUT,0,11,0
baseline,9999,0.0,86,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,86,1,TIMEOUT,0,3,2
baseline,9999,0.0,86,2,TIMEOUT,0,4,0
baseline,9999,0.0,86,3,TIMEOUT,0,5,0
baseline,9999,0.0,86,4,TIMEOUT,0,6,2
baseline,9999,0.0,86,5,TIMEOUT,0,7,0
baseline,9999,0.0,86,6,TIMEOUT,0,8,2
baseline,9999,0.0,86,7,TIMEOUT,0,9,1
baseline,9999,0.0,86,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,86,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,87,0,TIMEOUT,0,2,1
baseline,9999,0.0,87,1,TIMEOUT,0,3,2
baseline,9999,0.0,87,2,TIMEOUT,0,4,1
baseline,9999,0.0,87,3,TIMEOUT,0,5,1
baseline,9999,0.0,87,4,TIMEOUT,0,6,3
baseline,9999,0.0,87,5,TIMEOUT,0,7,0
baseline,9999,0.0,87,6,TIMEOUT,0,8,2
baseline,9999,0.0,87,7,TIMEOUT,0,9,1
baseline,9999,0.0,87,8,TIMEOUT,0,10,1
baseline,9999,0.0,87,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,88,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,88,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,88,2,TIMEOUT,0,4,0
baseline,9999,0.0,88,3,TIMEOUT,0,5,2
baseline,9999,0.0,88,4,TIMEOUT,0,6,0
baseline,9999,0.0,88,5,TIMEOUT,0,7,0
baseline,9999,0.0,88,6,TIMEOUT,0,8,1
baseline,9999,0.0,88,7,TIMEOUT,0,9,2
baseline,9999,0.0,88,8,TIMEOUT,0,10,1
baseline,9999,0.0,88,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,89,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,89,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,89,2,TIMEOUT,0,4,0
baseline,9999,0.0,89,3,TIMEOUT,0,5,2
baseline,9999,0.0,89,4,TIMEOUT,0,6,0
baseline,9999,0.0,89,5,TIMEOUT,0,7,0
baseline,9999,0.0,89,6,TIMEOUT,0,8,1
baseline,9999,0.0,89,7,TIMEOUT,0,9,1
baseline,9999,0.0,89,8,TIMEOUT,0,10,2
baseline,9999,0.0,89,9,TIMEOUT,0,11,1
baseline,9999,0.0,90,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,90,1,TIMEOUT,0,3,0
baseline,9999,0.0,90,2,TIMEOUT,0,4,2
baseline,9999,0.0,90,3,RESOURCE_TAKEN,0,5,0
baseline,9999,0.0,90,4,PARTNER_RESCUED,1,6,0
baseline,9999,0.0,90,5,TIMEOUT,0,7,1
baseline,9999,0.0,90,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,90,7,TIMEOUT,0,9,1
baseline,9999,0.0,90,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,90,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,91,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,91,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,91,2,TIMEOUT,0,4,1
baseline,9999,0.0,91,3,TIMEOUT,0,5,1
baseline,9999,0.0,91,4,TIMEOUT,0,6,0
baseline,9999,0.0,91,5,TIMEOUT,0,7,2
baseline,9999,0.0,91,6,TIMEOUT,0,8,1
baseline,9999,0.0,91,7,TIMEOUT,0,9,0
baseline,9999,0.0,91,8,TIMEOUT,0,10,4
