condition,mem_capacity,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
baseline,9999,0.0,25,7,TIMEOUT,0,9,1
baseline,9999,0.0,25,8,TIMEOUT,0,10,1
baseline,9999,0.0,25,9,TIMEOUT,0,11,0
baseline,9999,0.0,26,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,26,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,26,2,TIMEOUT,0,4,1
baseline,9999,0.0,26,3,TIMEOUT,0,5,1
baseline,9999,0.0,26,4,TIMEOUT,0,6,3
baseline,9999,0.0,26,5,RESOURCE_TAKEN,0,7,0
baseline,9999,0.0,26,6,PARTNER_RESCUED,1,8,0
baseline,9999,0.0,26,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,26,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,26,9,TIMEOUT,0,11,2
baseline,9999,0.0,27,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,27,1,TIMEOUT,0,3,1
baseline,9999,0.0,27,2,TIMEOUT,0,4,1
baseline,9999,0.0,27,3,TIMEOUT,0,5,0
baseline,9999,0.0,27,4,TIMEOUT,0,6,0
baseline,9999,0.0,27,5,TIMEOUT,0,7,2
baseline,9999,0.0,27,6,TIMEOUT,0,8,2
baseline,9999,0.0,27,7,TIMEOUT,0,9,1
baseline,9999,0.0,27,8,TIMEOUT,0,10,2
baseline,9999,0.0,27,9,TIMEOUT,0,11,1
baseline,9999,0.0,28,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,28,1,TIMEOUT,0,3,1
baseline,9999,0.0,28,2,TIMEOUT,0,4,0
baseline,9999,0.0,28,3,TIMEOUT,0,5,1
baseline,9999,0.0,28,4,TIMEOUT,0,6,1
baseline,9999,0.0,28,5,TIMEOUT,0,7,0
baseline,9999,0.0,28,6,TIMEOUT,0,8,2
baseline,9999,0.0,28,7,TIMEOUT,0,9,2
baseline,9999,0.0,28,8,TIMEOUT,0,10,1
baseline,9999,0.0,28,9,TIMEOUT,0,11,2
baseline,9999,0.0,29,0,TIMEOUT,0,2,1
baseline,9999,0.0,29,1,TIMEOUT,0,3,2
baseline,9999,0.0,29,2,TIMEOUT,0,4,1
baseline,9999,0.0,29,3,TIMEOUT,0,5,0
baseline,9999,0.0,29,4,TIMEOUT,0,6,1
baseline,9999,0.0,29,5,TIMEOUT,0,7,0
baseline,9999,0.0,29,6,TIMEOUT,0,8,1
baseline,9999,0.0,29,7,RESOURCE_TAKEN,0,9,0
baseline,9999,0.0,29,8,TIMEOUT,0,10,1
baseline,9999,0.0,29,9,TIMEOUT,0,11,1
baseline,9999,0.0,30,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,30,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,30,2,TIMEOUT,0,4,1
baseline,9999,0.0,30,3,TIMEOUT,0,5,2
baseline,9999,0.0,30,4,TIMEOUT,0,6,0
baseline,9999,0.0,30,5,TIMEOUT,0,7,1
baseline,9999,0.0,30,6,TIMEOUT,0,8,2
baseline,9999,0.0,30,7,TIMEOUT,0,9,1
baseline,9999,0.0,30,8,TIMEOUT,0,10,2
baseline,9999,0.0,30,9,RESOURCE_TAKEN,0,11,0
baseline,9999,0.0,31,0,TIMEOUT,0,2,1
baseline,9999,0.0,31,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,31,2,TIMEOUT,0,4,1
baseline,9999,0.0,31,3,TIMEOUT,0,5,1
baseline,9999,0.0,31,4,TIMEOUT,0,6,2
baseline,9999,0.0,31,5,TIMEOUT,0,7,2
baseline,9999,0.0,31,6,TIMEOUT,0,8,1
baseline,9999,0.0,31,7,TIMEOUT,0,9,1
baseline,9999,0.0,31,8,RESOURCE_TAKEN,0,10,0
baseline,9999,0.0,31,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,32,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,32,1,TIMEOUT,0,3,1
baseline,9999,0.0,32,2,TIMEOUT,0,4,1
baseline,9999,0.0,32,3,TIMEOUT,0,5,0
baseline,9999,0.0,32,4,TIMEOUT,0,6,0
baseline,9999,0.0,32,5,TIMEOUT,0,7,1
baseline,9999,0.0,32,6,RESOURCE_TAKEN,0,8,0
baseline,9999,0.0,32,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,32,8,TIMEOUT,0,10,1
baseline,9999,0.0,32,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,33,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,33,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,33,2,TIMEOUT,0,4,0
baseline,9999,0.0,33,3,TIMEOUT,0,5,2
baseline,9999,0.0,33,4,TIMEOUT,0,6,0
baseline,9999,0.0,33,5,TIMEOUT,0,7,2
baseline,9999,0.0,33,6,RESOURCE_TAKEN,0,8,1
baseline,9999,0.0,33,7,PARTNER_RESCUED,1,9,0
baseline,9999,0.0,33,8,PARTNER_RESCUED,1,10,0
baseline,9999,0.0,33,9,PARTNER_RESCUED,1,11,0
baseline,9999,0.0,34,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,34,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,34,2,TIMEOUT,0,4,1
baseline,9999,0.0,34,3,RESOURCE_TAKEN,0,5,0
baseline,9999,0.0,34,4,PARTNER_RESCUED,1,6,0
baseline,9999,0.0,34,5,PARTNER_RESCUED,1,7,0
baseline,9999,0.0,34,6,TIMEOUT,0,8,1
baseline,9999,0.0,34,7,TIMEOUT,0,9,0
baseline,9999,0.0,34,8,TIMEOUT,0,10,2
baseline,9999,0.0,34,9,TIMEOUT,0,11,2
baseline,9999,0.0,35,0,PARTNER_RESCUED,1,2,0
baseline,9999,0.0,35,1,PARTNER_RESCUED,1,3,0
baseline,9999,0.0,35,2,TIMEOUT,0,4,1
baseline,9999,0.0,35,3,TIMEOUT,0,5,2
baseline,9999,0.0,35,4,TIMEOUT,0,6,1
baseline,9999,0.0,35,5,TIMEOUT,0,7,1
baseline,9999,0.0,35,6,TIMEOUT,0,8,0
baseline,9999,0.0,35,7,TIMEOUT,0,9,0
baseline,9999,0.0,35,8,TIMEOUT,0,10,1
baseline,9999,0.0,35,9,RESOURCE_TAKEN,0,11,0
