mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.05,4,2,TIMEOUT,0,4
off,0.05,0.05,4,3,TIMEOUT,0,5
off,0.05,0.05,4,4,TIMEOUT,0,6
off,0.05,0.05,4,5,TIMEOUT,0,7
off,0.05,0.05,4,6,TIMEOUT,0,8
off,0.05,0.05,4,7,PARTNER_RESCUED,1,9
off,0.05,0.05,4,8,PARTNER_RESCUED,1,10
off,0.05,0.05,4,9,TIMEOUT,0,11
off,0.05,0.05,5,0,TIMEOUT,0,2
off,0.05,0.05,5,1,TIMEOUT,0,3
off,0.05,0.05,5,2,TIMEOUT,0,4
off,0.05,0.05,5,3,TIMEOUT,0,5
off,0.05,0.05,5,4,PARTNER_RESCUED,1,6
off,0.05,0.05,5,5,PARTNER_RESCUED,1,7
off,0.05,0.05,5,6,PARTNER_RESCUED,1,8
off,0.05,0.05,5,7,TIMEOUT,0,9
off,0.05,0.05,5,8,PARTNER_RESCUED,1,10
off,0.05,0.05,5,9,PARTNER_RESCUED,1,11
off,0.05,0.05,6,0,TIMEOUT,0,2
off,0.05,0.05,6,1,PARTNER_RESCUED,1,3
off,0.05,0.05,6,2,PARTNER_RESCUED,1,4
off,0.05,0.05,6,3,TIMEOUT,0,5
off,0.05,0.05,6,4,PARTNER_RESCUED,1,6
off,0.05,0.05,6,5,TIMEOUT,0,7
off,0.05,0.05,6,6,TIMEOUT,0,8
off,0.05,0.05,6,7,TIMEOUT,0,9
off,0.05,0.05,6,8,PARTNER_RESCUED,1,10
off,0.05,0.05,6,9,PARTNER_RESCUED,1,11
off,0.05,0.05,7,0,PARTNER_RESCUED,1,2
off,0.05,0.05,7,1,TIMEOUT,0,3
off,0.05,0.05,7,2,TIMEOUT,0,4
off,0.05,0.05,7,3,TIMEOUT,0,5
off,0.05,0.05,7,4,TIMEOUT,0,6
off,0.05,0.05,7,5,PARTNER_DEAD,0,7
off,0.05,0.05,7,6,PARTNER_RESCUED,1,8
off,0.05,0.05,7,7,PARTNER_RESCUED,1,9
off,0.05,0.05,7,8,PARTNER_RESCUED,1,10
off,0.05,0.05,7,9,TIMEOUT,0,11
off,0.05,0.05,8,0,PARTNER_RESCUED,1,2
off,0.05,0.05,8,1,TIMEOUT,0,3
off,0.05,0.05,8,2,TIMEOUT,0,4
off,0.05,0.05,8,3,PARTNER_RESCUED,1,5
off,0.05,0.05,8,4,TIMEOUT,0,6
off,0.05,0.05,8,5,TIMEOUT,0,7
off,0.05,0.05,8,6,TIMEOUT,0,8
off,0.05,0.05,8,7,TIMEOUT,0,9
off,0.05,0.05,8,8,TIMEOUT,0,10
off,0.05,0.05,8,9,TIMEOUT,0,11
off,0.05,0.05,9,0,TIMEOUT,0,2
off,0.05,0.05,9,1,TIMEOUT,0,3
off,0.05,0.05,9,2,TIMEOUT,0,4
off,0.05,0.05,9,3,TIMEOUT,0,5
off,0.05,0.05,9,4,PARTNER_RESCUED,1,6
off,0.05,0.05,9,5,TIMEOUT,0,7
off,0.05,0.05,9,6,TIMEOUT,0,8
off,0.05,0.05,9,7,TIMEOUT,0,9
off,0.05,0.05,9,8,TIMEOUT,0,10
off,0.05,0.05,9,9,TIMEOUT,0,11
off,0.05,0.05,10,0,TIMEOUT,0,2
off,0.05,0.05,10,1,PARTNER_RESCUED,1,3
off,0.05,0.05,10,2,TIMEOUT,0,4
off,0.05,0.05,10,3,TIMEOUT,0,5
off,0.05,0.05,10,4,TIMEOUT,0,6
off,0.05,0.05,10,5,TIMEOUT,0,7
off,0.05,0.05,10,6,TIMEOUT,0,8
off,0.05,0.05,10,7,TIMEOUT,0,9
off,0.05,0.05,10,8,TIMEOUT,0,10
off,0.05,0.05,10,9,PARTNER_RESCUED,1,11
off,0.05,0.05,11,0,PARTNER_RESCUED,1,2
off,0.05,0.05,11,1,TIMEOUT,0,3
off,0.05,0.05,11,2,PARTNER_RESCUED,1,4
off,0.05,0.05,11,3,PARTNER_RESCUED,1,5
off,0.05,0.05,11,4,TIMEOUT,0,6
off,0.05,0.05,11,5,PARTNER_RESCUED,1,7
off,0.05,0.05,11,6,TIMEOUT,0,8
off,0.05,0.05,11,7,PARTNER_RESCUED,1,9
off,0.05,0.05,11,8,TIMEOUT,0,10
off,0.05,0.05,11,9,PARTNER_RESCUED,1,11
off,0.05,0.05,12,0,PARTNER_RESCUED,1,2
off,0.05,0.05,12,1,TIMEOUT,0,3
off,0.05,0.05,12,2,PARTNER_RESCUED,1,4
off,0.05,0.05,12,3,TIMEOUT,0,5
off,0.05,0.05,12,4,TIMEOUT,0,6
off,0.05,0.05,12,5,TIMEOUT,0,7
off,0.05,0.05,12,6,PARTNER_RESCUED,1,8
off,0.05,0.05,12,7,TIMEOUT,0,9
off,0.05,0.05,12,8,TIMEOUT,0,10
off,0.05,0.05,12,9,TIMEOUT,0,11
off,0.05,0.05,13,0,PARTNER_RESCUED,1,2
off,0.05,0.05,13,1,TIMEOUT,0,3
off,0.05,0.05,13,2,TIMEOUT,0,4
off,0.05,0.05,13,3,TIMEOUT,0,5
off,0.05,0.05,13,4,TIMEOUT,0,6
off,0.05,0.05,13,5,PARTNER_RESCUED,1,7
off,0.05,0.05,13,6,PARTNER_RESCUED,1,8
off,0.05,0.05,13,7,TIMEOUT,0,9
off,0.05,0.05,13,8,TIMEOUT,0,10
off,0.05,0.05,13,9,TIMEOUT,0,11
off,0.05,0.05,14,0,PARTNER_RESCUED,1,2
off,0.05,0.05,14,1,TIMEOUT,0,3
off,0.05,0.05,14,2,TIMEOUT,0,4
off,0.05,0.05,14,3,TIMEOUT,0,5
off,0.05,0.05,14,4,PARTNER_RESCUED,1,6
off,0.05,0.05,14,5,TIMEOUT,0,7
off,0.05,0.05,14,6,PARTNER_RESCUED,1,8
off,0.05,0.05,14,7,PARTNER_RESCUED,1,9
off,0.05,0.05,14,8,PARTNER_RESCUED,1,10
off,0.05,0.05,14,9,TIMEOUT,0,11
off,0.05,0.05,15,0,PARTNER_RESCUED,1,2
off,0.05,0.05,15,1,PARTNER_DEAD,0,3
off,0.05,0.05,15,2,PARTNER_RESCUED,1,4
off,0.05,0.05,15,3,TIMEOUT,0,5
off,0.05,0.05,15,4,PARTNER_RESCUED,1,6
off,0.05,0.05,15,5,PARTNER_RESCUED,1,7
off,0.05,0.05,15,6,PARTNER_RESCUED,1,8
off,0.05,0.05,15,7,PARTNER_RESCUED,1,9
off,0.05,0.05,15,8,PARTNER_RESCUED,1,10
off,0.05,0.05,15,9,TIMEOUT,0,11
off,0.05,0.05,16,0,PARTNER_RESCUED,1,2
off,0.05,0.05,16,1,TIMEOUT,0,3
off,0.05,0.05,16,2,PARTNER_RESCUED,1,4
off,0.05,0.05,16,3,TIMEOUT,0,5
off,0.05,0.05,16,4,TIMEOUT,0,6
off,0.05,0.05,16,5,PARTNER_RESCUED,1,7
off,0.05,0.05,16,6,PARTNER_RESCUED,1,8
off,0.05,0.05,16,7,PARTNER_RESCUED,1,9
off,0.05,0.05,16,8,PARTNER_DEAD,0,10
off,0.05,0.05,16,9,PARTNER_RESCUED,1,11
off,0.05,0.05,17,0,PARTNER_RESCUED,1,2
off,0.05,0.05,17,1,TIMEOUT,0,3
off,0.05,0.05,17,2,TIMEOUT,0,4
off,0.05,0.05,17,3,PARTNER_RESCUED,1,5
off,0.05,0.05,17,4,PARTNER_RESCUED,1,6
off,0.05,0.05,17,5,PARTNER_RESCUED,1,7
off,0.05,0.05,17,6,PARTNER_RESCUED,1,8
off,0.05,0.05,17,7,TIMEOUT,0,9
off,0.05,0.05,17,8,TIMEOUT,0,10
off,0.05,0.05,17,9,PARTNER_RESCUED,1,11
off,0.05,0.05,18,0,PARTNER_RESCUED,1,2
off,0.05,0.05,18,1,PARTNER_RESCUED,1,3
off,0.05,0.05,18,2,TIMEOUT,0,4
off,0.05,0.05,18,3,TIMEOUT,0,5
off,0.05,0.05,18,4,PARTNER_RESCUED,1,6
off,0.05,0.05,18,5,PARTNER_RESCUED,1,7
off,0.05,0.05,18,6,TIMEOUT,0,8
off,0.05,0.05,18,7,TIMEOUT,0,9
off,0.05,0.05,18,8,TIMEOUT,0,10
off,0.05,0.05,18,9,PARTNER_RESCUED,1,11
off,0.05,0.05,19,0,PARTNER_RESCUED,1,2
off,0.05,0.05,19,1,TIMEOUT,0,3
off,0.05,0.05,19,2,TIMEOUT,0,4
off,0.05,0.05,19,3,PARTNER_RESCUED,1,5
off,0.05,0.05,19,4,PARTNER_RESCUED,1,6
off,0.05,0.05,19,5,TIMEOUT,0,7
off,0.05,0.05,19,6,PARTNER_RESCUED,1,8
off,0.05,0.05,19,7,PARTNER_RESCUED,1,9
off,0.05,0.05,19,8,TIMEOUT,0,10
off,0.05,0.05,19,9,TIMEOUT,0,11
off,0.05,0.05,20,0,PARTNER_RESCUED,1,2
off,0.05,0.05,20,1,TIMEOUT,0,3
off,0.05,0.05,20,2,PARTNER_RESCUED,1,4
off,0.05,0.05,20,3,PARTNER_RESCUED,1,5
off,0.05,0.05,20,4,TIMEOUT,0,6
off,0.05,0.05,20,5,TIMEOUT,0,7
off,0.05,0.05,20,6,PARTNER_RESCUED,1,8
off,0.05,0.05,20,7,TIMEOUT,0,9
off,0.05,0.05,20,8,TIMEOUT,0,10
off,0.05,0.05,20,9,TIMEOUT,0,11
off,0.05,0.05,21,0,PARTNER_RESCUED,1,2
off,0.05,0.05,21,1,PARTNER_RESCUED,1,3
off,0.05,0.05,21,2,TIMEOUT,0,4
