mode,beta_guilt,beta_loyalty,agent_id,episode_idx,step,seed_impact,top1_is_seed,seed_stored_guilt,seed_stored_loyalty,seed_age
off,0.05,0.05,0,0,0,0.9245333822705224,1,0.9,0.6,15
off,0.05,0.05,0,0,1,0.8265189246570599,1,0.855,0.57,16
off,0.05,0.05,0,0,2,0.7411345327638864,1,0.8122499999999999,0.5415,17
off,0.05,0.05,0,0,3,0.6623268780653728,1,0.7716374999999999,0.5144249999999999,18
off,0.05,0.05,0,0,4,0.5938186884382433,1,0.7330556249999999,0.4887037499999999,19
off,0.05,0.05,0,0,5,0.5310512246127359,1,0.6964028437499998,0.46426856249999987,20
off,0.05,0.05,0,1,0,0.5614979238153233,0,0.6615827015624998,0.4410551343749999,21
off,0.05,0.05,0,1,1,0.5291961712803626,0,0.6285035664843748,0.41900237765624987,22
off,0.05,0.05,0,1,2,0.47804817095842217,0,0.597078388160156,0.39805225877343736,23
off,0.05,0.05,0,1,3,0.4435600697361446,0,0.5672244687521482,0.37814964583476546,24
off,0.05,0.05,0,1,4,0.41207232680483846,0,0.5388632453145408,0.3592421635430272,25
off,0.05,0.05,0,1,5,0.37159648483645846,0,0.5119200830488138,0.3412800553658758,26
off,0.05,0.05,0,1,6,0.3403871453049458,0,0.486324078896373,0.324216052597582,27
off,0.05,0.05,0,1,7,0.3652002087263795,0,0.4620078749515544,0.3080052499677029,28
off,0.05,0.05,0,1,8,0.3580106778957843,0,0.43890748120397666,0.29260498746931773,29
off,0.05,0.05,0,1,9,0.3495473593729326,0,0.4169621071437778,0.2779747380958518,30
off,0.05,0.05,0,1,10,0.3392428733851508,0,0.3961140017865889,0.26407600119105923,31
off,0.05,0.05,0,1,11,0.3266178223404127,0,0.37630830169725943,0.25087220113150627,32
off,0.05,0.05,0,2,0,0.23917605139502,0,0.3574928866123964,0.23832859107493093,33
off,0.05,0.05,0,2,1,0.22829106761536627,0,0.33961824228177656,0.22641216152118437,34
off,0.05,0.05,0,2,2,0.21410588171505177,0,0.3226373301676877,0.21509155344512515,35
off,0.05,0.05,0,2,3,0.197297033680328,0,0.3065054636593033,0.20433697577286888,36
off,0.05,0.05,0,2,4,0.18079665977216416,0,0.29118019047633814,0.19412012698422543,37
off,0.05,0.05,0,2,5,0.16489867882128392,0,0.2766211809525212,0.18441412063501414,38
off,0.05,0.05,0,2,6,0.15167191374991731,0,0.26279012190489515,0.17519341460326343,39
off,0.05,0.05,0,2,7,0.16311044079113762,0,0.24965061580965037,0.16643374387310025,40
off,0.05,0.05,0,2,8,0.1580765214326551,0,0.23716808501916783,0.15811205667944522,41
off,0.05,0.05,0,2,9,0.14888842874834693,0,0.22530968076820942,0.15020645384547296,42
off,0.05,0.05,0,2,10,0.1403036947978044,0,0.21404419672979894,0.14269613115319932,43
off,0.05,0.05,0,2,11,0.13519637421281422,0,0.20334198689330898,0.13556132459553935,44
off,0.05,0.05,0,3,0,0.11446490066525261,0,0.19317488754864354,0.12878325836576238,45
off,0.05,0.05,0,3,1,0.10538843799573287,0,0.18351614317121134,0.12234409544747425,46
off,0.05,0.05,0,3,2,0.09718251202562603,0,0.17434033601265078,0.11622689067510053,47
off,0.05,0.05,0,3,3,0.08918807927676785,0,0.16562331921201823,0.1104155461413455,48
off,0.05,0.05,0,3,4,0.08153226153651032,0,0.15734215325141732,0.10489476883427822,49
off,0.05,0.05,0,3,5,0.07511988617466567,0,0.14947504558884644,0.0996500303925643,50
off,0.05,0.05,0,3,6,0.07101259053171732,0,0.14200129330940411,0.09466752887293609,51
off,0.05,0.05,0,4,0,0.07683857933917618,0,0.1349012286439339,0.08993415242928927,52
off,0.05,0.05,0,4,1,0.07091766954676791,0,0.1281561672117372,0.08543744480782481,53
off,0.05,0.05,0,4,2,0.06512252740542392,0,0.12174835885115033,0.08116557256743356,54
off,0.05,0.05,0,4,3,0.05955595843302779,0,0.11566094090859282,0.07710729393906188,55
off,0.05,0.05,0,4,4,0.05522662862016476,0,0.10987789386316317,0.07325192924210878,56
off,0.05,0.05,0,4,5,0.05098387710956031,0,0.104383999170005,0.06958933278000334,57
off,0.05,0.05,0,5,0,0.05525321293135247,0,0.09916479921150474,0.06610986614100317,58
off,0.05,0.05,0,5,1,0.05107158522353897,0,0.0942065592509295,0.06280437283395301,59
off,0.05,0.05,0,5,2,0.047270544196113554,0,0.08949623128838302,0.05966415419225536,60
off,0.05,0.05,0,5,3,0.04353560637739353,0,0.08502141972396386,0.05668094648264259,61
off,0.05,0.05,0,5,4,0.04016528120702824,0,0.08077034873776566,0.05384689915851046,62
off,0.05,0.05,0,5,5,0.0369093894165862,0,0.07673183130087738,0.051154554200584935,63
off,0.05,0.05,0,6,0,0.04004625623023359,0,0.0728952397358335,0.04859682649055569,64
off,0.05,0.05,0,6,1,0.03867970162737533,0,0.06925047774904183,0.0461669851660279,65
off,0.05,0.05,0,6,2,0.036021372884205816,0,0.06578795386158974,0.043858635907726505,66
off,0.05,0.05,0,6,3,0.033341569256158714,0,0.06249855616851025,0.04166570411234018,67
off,0.05,0.05,0,6,4,0.03090089624380658,0,0.05937362836008474,0.03958241890672316,68
off,0.05,0.05,0,6,5,0.03001589086122918,0,0.0564049469420805,0.037603297961387006,69
off,0.05,0.05,0,6,6,0.02782572857018782,0,0.05358469959497647,0.035723133063317654,70
off,0.05,0.05,0,6,7,0.03073043207341214,0,0.050905464615227644,0.03393697641015177,71
off,0.05,0.05,0,6,8,0.030405722630361075,0,0.04836019138446626,0.032240127589644174,72
off,0.05,0.05,0,6,9,0.029887961905209877,0,0.04594218181524295,0.030628121210161965,73
off,0.05,0.05,0,6,10,0.02837593792512407,0,0.0436450727244808,0.029096715149653864,74
off,0.05,0.05,0,6,11,0.027665445674717775,0,0.04146281908825676,0.027641879392171168,75
off,0.05,0.05,0,7,0,0.021372688965675016,0,0.03938967813384392,0.026259785422562607,76
off,0.05,0.05,0,7,1,0.020672198303591155,0,0.037420194227151725,0.024946796151434476,77
off,0.05,0.05,0,7,2,0.019633367567314694,0,0.035549184515794134,0.02369945634386275,78
off,0.05,0.05,0,7,3,0.01830972360085178,0,0.033771725290004426,0.022514483526669613,79
off,0.05,0.05,0,7,4,0.016970198283516234,0,0.0320831390255042,0.021388759350336132,80
off,0.05,0.05,0,7,5,0.01564595971482234,0,0.03047898207422899,0.020319321382819323,81
off,0.05,0.05,0,7,6,0.014363085743257563,0,0.02895503297051754,0.019303355313678355,82
off,0.05,0.05,0,7,7,0.015788914452154246,0,0.02750728132199166,0.018338187547994437,83
off,0.05,0.05,0,7,8,0.015443925515500384,0,0.026131917255892076,0.017421278170594714,84
off,0.05,0.05,0,7,9,0.014998713899303006,0,0.024825321393097472,0.016550214262064978,85
off,0.05,0.05,0,7,10,0.014447271360176851,0,0.0235840553234426,0.015722703548961728,86
off,0.05,0.05,0,7,11,0.014479199413829913,0,0.02240485255727047,0.01493656837151364,87
off,0.05,0.05,0,8,0,0.011553938027012505,0,0.021284609929406943,0.014189739952937958,88
off,0.05,0.05,0,8,1,0.01071423392218343,0,0.020220379432936596,0.01348025295529106,89
off,0.05,0.05,0,8,2,0.009883051962287724,0,0.019209360461289765,0.012806240307526506,90
off,0.05,0.05,0,8,3,0.009076962782944382,0,0.018248892438225275,0.01216592829215018,91
off,0.05,0.05,0,8,4,0.0084513599377452,0,0.01733644781631401,0.011557631877542671,92
off,0.05,0.05,0,8,5,0.007832231550924825,0,0.01646962542549831,0.010979750283665537,93
off,0.05,0.05,0,9,0,0.008519244064630584,0,0.01564614415422339,0.01043076276948226,94
off,0.05,0.05,0,9,1,0.00809847432843484,0,0.014863836946512221,0.009909224631008146,95
off,0.05,0.05,0,9,2,0.007511911935004075,0,0.01412064509918661,0.009413763399457738,96
off,0.05,0.05,0,9,3,0.006930918962121156,0,0.013414612844227278,0.008943075229484851,97
off,0.05,0.05,0,9,4,0.006445278578432645,0,0.012743882202015912,0.008495921468010608,98
off,0.05,0.05,0,9,5,0.005929673987551334,0,0.012106688091915117,0.008071125394610077,99
off,0.05,0.05,0,9,6,0.005496476458709889,0,0.01150135368731936,0.007667569124879573,100
off,0.05,0.05,1,0,0,0.9245333822705224,1,0.9,0.6,15
off,0.05,0.05,1,0,1,0.8265189246570599,1,0.855,0.57,16
off,0.05,0.05,1,0,2,0.736337495092399,1,0.8122499999999999,0.5415,17
off,0.05,0.05,1,0,3,0.6542983767791477,1,0.7716374999999999,0.5144249999999999,18
off,0.05,0.05,1,0,4,0.590376232252443,1,0.7330556249999999,0.4887037499999999,19
off,0.05,0.05,1,0,5,0.5310512246127359,1,0.6964028437499998,0.46426856249999987,20
off,0.05,0.05,1,1,0,0.5614979238153233,0,0.6615827015624998,0.4410551343749999,21
off,0.05,0.05,1,1,1,0.5291961712803626,0,0.6285035664843748,0.41900237765624987,22
off,0.05,0.05,1,1,2,0.48147508343528994,0,0.597078388160156,0.39805225877343736,23
off,0.05,0.05,1,1,3,0.43589869770482265,0,0.5672244687521482,0.37814964583476546,24
off,0.05,0.05,1,1,4,0.39558270046738764,0,0.5388632453145408,0.3592421635430272,25
off,0.05,0.05,1,1,5,0.3575688842504132,0,0.5119200830488138,0.3412800553658758,26
off,0.05,0.05,1,1,6,0.32407157850206103,0,0.486324078896373,0.324216052597582,27
off,0.05,0.05,1,1,7,0.342529615832716,0,0.4620078749515544,0.3080052499677029,28
off,0.05,0.05,1,1,8,0.3337098280810802,0,0.43890748120397666,0.29260498746931773,29
off,0.05,0.05,1,1,9,0.3238565395154913,0,0.4169621071437778,0.2779747380958518,30
off,0.05,0.05,1,1,10,0.3155842482120572,0,0.3961140017865889,0.26407600119105923,31
off,0.05,0.05,1,1,11,0.30574789424439347,0,0.37630830169725943,0.25087220113150627,32
off,0.05,0.05,1,2,0,0.23917605139502,0,0.3574928866123964,0.23832859107493093,33
off,0.05,0.05,1,2,1,0.22414750969265368,0,0.33961824228177656,0.22641216152118437,34
off,0.05,0.05,1,2,2,0.2051183759523694,0,0.3226373301676877,0.21509155344512515,35
off,0.05,0.05,1,2,3,0.18683666508941574,0,0.3065054636593033,0.20433697577286888,36
off,0.05,0.05,1,2,4,0.16955585316712876,0,0.29118019047633814,0.19412012698422543,37
off,0.05,0.05,1,2,5,0.15608457046856697,0,0.2766211809525212,0.18441412063501414,38
off,0.05,0.05,1,2,6,0.1430958306065697,0,0.26279012190489515,0.17519341460326343,39
off,0.05,0.05,1,3,0,0.15405833639993413,0,0.24965061580965037,0.16643374387310025,40
off,0.05,0.05,1,3,1,0.14150893857011426,0,0.23716808501916783,0.15811205667944522,41
off,0.05,0.05,1,3,2,0.13019915396783285,0,0.22530968076820942,0.15020645384547296,42
