capacity,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
2,14,7,TIMEOUT,0,2,2
2,14,8,TIMEOUT,0,2,0
2,14,9,TIMEOUT,0,2,3
2,15,0,PARTNER_RESCUED,1,2,0
2,15,1,TIMEOUT,0,2,0
2,15,2,TIMEOUT,0,2,2
2,15,3,TIMEOUT,0,2,2
2,15,4,TIMEOUT,0,2,0
2,15,5,TIMEOUT,0,2,1
2,15,6,TIMEOUT,0,2,1
2,15,7,TIMEOUT,0,2,1
2,15,8,TIMEOUT,0,2,2
2,15,9,TIMEOUT,0,2,0
2,16,0,PARTNER_RESCUED,1,2,0
2,16,1,PARTNER_RESCUED,1,2,0
2,16,2,PARTNER_DEAD,0,2,1
2,16,3,PARTNER_RESCUED,1,2,0
2,16,4,PARTNER_RESCUED,1,2,0
2,16,5,TIMEOUT,0,2,0
2,16,6,RESOURCE_TAKEN,0,2,0
2,16,7,PARTNER_RESCUED,1,2,0
2,16,8,TIMEOUT,0,2,1
2,16,9,TIMEOUT,0,2,1
2,17,0,PARTNER_RESCUED,1,2,0
2,17,1,PARTNER_RESCUED,1,2,0
2,17,2,TIMEOUT,0,2,0
2,17,3,TIMEOUT,0,2,0
2,17,4,TIMEOUT,0,2,1
2,17,5,RESOURCE_TAKEN,0,2,0
2,17,6,PARTNER_RESCUED,1,2,0
2,17,7,PARTNER_RESCUED,1,2,0
2,17,8,TIMEOUT,0,2,1
2,17,9,TIMEOUT,0,2,1
2,18,0,PARTNER_RESCUED,1,2,0
2,18,1,PARTNER_RESCUED,1,2,0
2,18,2,PARTNER_RESCUED,1,2,0
2,18,3,TIMEOUT,0,2,1
2,18,4,RESOURCE_TAKEN,0,2,0
2,18,5,PARTNER_RESCUED,1,2,0
2,18,6,TIMEOUT,0,2,0
2,18,7,TIMEOUT,0,2,2
2,18,8,TIMEOUT,0,2,0
2,18,9,TIMEOUT,0,2,3
2,19,0,PARTNER_RESCUED,1,2,0
2,19,1,PARTNER_RESCUED,1,2,0
2,19,2,TIMEOUT,0,2,0
2,19,3,TIMEOUT,0,2,0
2,19,4,TIMEOUT,0,2,2
2,19,5,TIMEOUT,0,2,2
2,19,6,TIMEOUT,0,2,1
2,19,7,TIMEOUT,0,2,3
2,19,8,TIMEOUT,0,2,3
2,19,9,TIMEOUT,0,2,0
2,20,0,PARTNER_RESCUED,1,2,0
2,20,1,TIMEOUT,0,2,1
2,20,2,RESOURCE_TAKEN,0,2,0
2,20,3,PARTNER_RESCUED,1,2,0
2,20,4,TIMEOUT,0,2,1
2,20,5,TIMEOUT,0,2,0
2,20,6,TIMEOUT,0,2,0
2,20,7,TIMEOUT,0,2,1
2,20,8,TIMEOUT,0,2,1
2,20,9,TIMEOUT,0,2,1
2,21,0,PARTNER_RESCUED,1,2,0
2,21,1,TIMEOUT,0,2,1
2,21,2,TIMEOUT,0,2,0
2,21,3,RESOURCE_TAKEN,0,2,0
2,21,4,TIMEOUT,0,2,1
2,21,5,TIMEOUT,0,2,0
2,21,6,TIMEOUT,0,2,1
2,21,7,TIMEOUT,0,2,1
2,21,8,TIMEOUT,0,2,2
2,21,9,RESOURCE_TAKEN,0,2,0
2,22,0,PARTNER_RESCUED,1,2,0
2,22,1,PARTNER_DEAD,0,2,0
2,22,2,PARTNER_RESCUED,1,2,0
2,22,3,TIMEOUT,0,2,0
2,22,4,PARTNER_RESCUED,1,2,0
2,22,5,TIMEOUT,0,2,2
2,22,6,TIMEOUT,0,2,2
2,22,7,TIMEOUT,0,2,0
2,22,8,TIMEOUT,0,2,1
2,22,9,TIMEOUT,0,2,2
2,23,0,PARTNER_RESCUED,1,2,0
2,23,1,PARTNER_RESCUED,1,2,0
2,23,2,TIMEOUT,0,2,0
2,23,3,TIMEOUT,0,2,0
2,23,4,TIMEOUT,0,2,1
2,23,5,TIMEOUT,0,2,3
2,23,6,TIMEOUT,0,2,1
2,23,7,TIMEOUT,0,2,0
2,23,8,TIMEOUT,0,2,0
2,23,9,TIMEOUT,0,2,2
2,24,0,PARTNER_RESCUED,1,2,0
2,24,1,TIMEOUT,0,2,0
2,24,2,RESOURCE_TAKEN,0,2,0
2,24,3,TIMEOUT,0,2,1
2,24,4,TIMEOUT,0,2,1
2,24,5,TIMEOUT,0,2,0
2,24,6,RESOURCE_TAKEN,0,2,0
2,24,7,PARTNER_RESCUED,1,2,0
2,24,8,PARTNER_DEAD,0,2,1
2,24,9,PARTNER_DEAD,0,2,1
2,25,0,PARTNER_RESCUED,1,2,0
2,25,1,TIMEOUT,0,2,1
2,25,2,RESOURCE_TAKEN,0,2,0
2,25,3,PARTNER_RESCUED,1,2,0
2,25,4,TIMEOUT,0,2,0
2,25,5,TIMEOUT,0,2,0
2,25,6,TIMEOUT,0,2,1
2,25,7,TIMEOUT,0,2,1
2,25,8,RESOURCE_TAKEN,0,2,0
2,25,9,TIMEOUT,0,2,1
2,26,0,PARTNER_RESCUED,1,2,0
2,26,1,PARTNER_RESCUED,1,2,0
2,26,2,TIMEOUT,0,2,0
2,26,3,RESOURCE_TAKEN,0,2,0
2,26,4,PARTNER_RESCUED,1,2,0
2,26,5,TIMEOUT,0,2,1
2,26,6,TIMEOUT,0,2,1
2,26,7,TIMEOUT,0,2,2
2,26,8,TIMEOUT,0,2,2
2,26,9,TIMEOUT,0,2,1
2,27,0,PARTNER_RESCUED,1,2,0
2,27,1,TIMEOUT,0,2,1
2,27,2,RESOURCE_TAKEN,0,2,0
2,27,3,PARTNER_RESCUED,1,2,0
2,27,4,PARTNER_RESCUED,1,2,0
2,27,5,PARTNER_RESCUED,1,2,0
2,27,6,TIMEOUT,0,2,2
2,27,7,TIMEOUT,0,2,0
2,27,8,TIMEOUT,0,2,2
2,27,9,TIMEOUT,0,2,1
2,28,0,PARTNER_RESCUED,1,2,0
2,28,1,PARTNER_RESCUED,1,2,0
2,28,2,TIMEOUT,0,2,1
2,28,3,TIMEOUT,0,2,2
2,28,4,TIMEOUT,0,2,2
2,28,5,TIMEOUT,0,2,0
2,28,6,TIMEOUT,0,2,2
2,28,7,RESOURCE_TAKEN,0,2,0
2,28,8,PARTNER_DEAD,0,2,1
2,28,9,PARTNER_RESCUED,1,2,0
2,29,0,TIMEOUT,0,2,1
2,29,1,PARTNER_DEAD,0,2,0
2,29,2,PARTNER_RESCUED,1,2,0
2,29,3,PARTNER_RESCUED,1,2,0
2,29,4,TIMEOUT,0,2,1
2,29,5,TIMEOUT,0,2,1
2,29,6,TIMEOUT,0,2,0
2,29,7,TIMEOUT,0,2,1
2,29,8,TIMEOUT,0,2,1
2,29,9,TIMEOUT,0,2,0
2,30,0,TIMEOUT,0,2,0
2,30,1,TIMEOUT,0,2,2
2,30,2,TIMEOUT,0,2,0
2,30,3,TIMEOUT,0,2,2
2,30,4,TIMEOUT,0,2,2
2,30,5,TIMEOUT,0,2,0
2,30,6,TIMEOUT,0,2,0
