cell,jitter,tag_aware,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off_off,0.0,0,5,5,TIMEOUT,0,7,3
off_off,0.0,0,5,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,5,7,PARTNER_RESCUED,1,9,0
off_off,0.0,0,5,8,TIMEOUT,0,10,0
off_off,0.0,0,5,9,TIMEOUT,0,11,2
off_off,0.0,0,5,10,TIMEOUT,0,12,0
off_off,0.0,0,5,11,TIMEOUT,0,13,0
off_off,0.0,0,5,12,RESOURCE_TAKEN,0,14,0
off_off,0.0,0,5,13,TIMEOUT,0,15,0
off_off,0.0,0,5,14,RESOURCE_TAKEN,0,16,0
off_off,0.0,0,5,15,PARTNER_RESCUED,1,17,0
off_off,0.0,0,5,16,TIMEOUT,0,18,0
off_off,0.0,0,5,17,RESOURCE_TAKEN,0,19,0
off_off,0.0,0,5,18,TIMEOUT,0,20,0
off_off,0.0,0,5,19,RESOURCE_TAKEN,0,21,0
off_off,0.0,0,6,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,6,1,TIMEOUT,0,3,0
off_off,0.0,0,6,2,RESOURCE_TAKEN,0,4,0
off_off,0.0,0,6,3,PARTNER_RESCUED,1,5,0
off_off,0.0,0,6,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,6,5,TIMEOUT,0,7,0
off_off,0.0,0,6,6,TIMEOUT,0,8,1
off_off,0.0,0,6,7,RESOURCE_TAKEN,0,9,0
off_off,0.0,0,6,8,TIMEOUT,0,10,0
off_off,0.0,0,6,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,6,10,PARTNER_RESCUED,1,12,0
off_off,0.0,0,6,11,TIMEOUT,0,13,0
off_off,0.0,0,6,12,RESOURCE_TAKEN,0,14,1
off_off,0.0,0,6,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,6,14,TIMEOUT,0,16,2
off_off,0.0,0,6,15,TIMEOUT,0,17,1
off_off,0.0,0,6,16,TIMEOUT,0,18,0
off_off,0.0,0,6,17,RESOURCE_TAKEN,0,19,1
off_off,0.0,0,6,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,6,19,TIMEOUT,0,21,1
off_off,0.0,0,7,0,TIMEOUT,0,2,0
off_off,0.0,0,7,1,RESOURCE_TAKEN,0,3,1
off_off,0.0,0,7,2,PARTNER_RESCUED,1,4,0
off_off,0.0,0,7,3,TIMEOUT,0,5,0
off_off,0.0,0,7,4,TIMEOUT,0,6,1
off_off,0.0,0,7,5,RESOURCE_TAKEN,0,7,0
off_off,0.0,0,7,6,PARTNER_RESCUED,1,8,0
off_off,0.0,0,7,7,TIMEOUT,0,9,1
off_off,0.0,0,7,8,TIMEOUT,0,10,1
off_off,0.0,0,7,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,7,10,TIMEOUT,0,12,0
off_off,0.0,0,7,11,TIMEOUT,0,13,1
off_off,0.0,0,7,12,RESOURCE_TAKEN,0,14,1
off_off,0.0,0,7,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,7,14,TIMEOUT,0,16,2
off_off,0.0,0,7,15,RESOURCE_TAKEN,0,17,0
off_off,0.0,0,7,16,PARTNER_RESCUED,1,18,0
off_off,0.0,0,7,17,TIMEOUT,0,19,0
off_off,0.0,0,7,18,TIMEOUT,0,20,1
off_off,0.0,0,7,19,RESOURCE_TAKEN,0,21,0
off_off,0.0,0,8,0,TIMEOUT,0,2,1
off_off,0.0,0,8,1,TIMEOUT,0,3,0
off_off,0.0,0,8,2,TIMEOUT,0,4,1
off_off,0.0,0,8,3,TIMEOUT,0,5,1
off_off,0.0,0,8,4,TIMEOUT,0,6,1
off_off,0.0,0,8,5,TIMEOUT,0,7,1
off_off,0.0,0,8,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,8,7,TIMEOUT,0,9,1
off_off,0.0,0,8,8,RESOURCE_TAKEN,0,10,1
off_off,0.0,0,8,9,TIMEOUT,0,11,1
off_off,0.0,0,8,10,RESOURCE_TAKEN,0,12,0
off_off,0.0,0,8,11,TIMEOUT,0,13,0
off_off,0.0,0,8,12,RESOURCE_TAKEN,0,14,1
off_off,0.0,0,8,13,TIMEOUT,0,15,1
off_off,0.0,0,8,14,RESOURCE_TAKEN,0,16,0
off_off,0.0,0,8,15,TIMEOUT,0,17,0
off_off,0.0,0,8,16,TIMEOUT,0,18,2
off_off,0.0,0,8,17,RESOURCE_TAKEN,0,19,1
off_off,0.0,0,8,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,8,19,TIMEOUT,0,21,2
off_off,0.0,0,9,0,TIMEOUT,0,2,1
off_off,0.0,0,9,1,RESOURCE_TAKEN,0,3,0
off_off,0.0,0,9,2,TIMEOUT,0,4,0
off_off,0.0,0,9,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,9,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,9,5,TIMEOUT,0,7,1
off_off,0.0,0,9,6,RESOURCE_TAKEN,0,8,1
off_off,0.0,0,9,7,TIMEOUT,0,9,0
off_off,0.0,0,9,8,RESOURCE_TAKEN,0,10,0
off_off,0.0,0,9,9,PARTNER_RESCUED,1,11,0
off_off,0.0,0,9,10,TIMEOUT,0,12,2
off_off,0.0,0,9,11,RESOURCE_TAKEN,0,13,0
off_off,0.0,0,9,12,TIMEOUT,0,14,1
off_off,0.0,0,9,13,RESOURCE_TAKEN,0,15,0
off_off,0.0,0,9,14,PARTNER_RESCUED,1,16,0
off_off,0.0,0,9,15,TIMEOUT,0,17,1
off_off,0.0,0,9,16,RESOURCE_TAKEN,0,18,1
off_off,0.0,0,9,17,TIMEOUT,0,19,0
off_off,0.0,0,9,18,RESOURCE_TAKEN,0,20,0
off_off,0.0,0,9,19,PARTNER_RESCUED,1,21,0
off_off,0.0,0,10,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,10,1,TIMEOUT,0,3,2
off_off,0.0,0,10,2,TIMEOUT,0,4,1
off_off,0.0,0,10,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,10,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,10,5,TIMEOUT,0,7,0
off_off,0.0,0,10,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,10,7,TIMEOUT,0,9,1
off_off,0.0,0,10,8,TIMEOUT,0,10,2
off_off,0.0,0,10,9,RESOURCE_TAKEN,0,11,0
off_off,0.0,0,10,10,PARTNER_RESCUED,1,12,0
off_off,0.0,0,10,11,TIMEOUT,0,13,3
off_off,0.0,0,10,12,RESOURCE_TAKEN,0,14,1
off_off,0.0,0,10,13,PARTNER_RESCUED,1,15,0
off_off,0.0,0,10,14,RESOURCE_TAKEN,0,16,0
off_off,0.0,0,10,15,TIMEOUT,0,17,0
off_off,0.0,0,10,16,RESOURCE_TAKEN,0,18,0
off_off,0.0,0,10,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,10,18,TIMEOUT,0,20,1
off_off,0.0,0,10,19,RESOURCE_TAKEN,0,21,0
off_off,0.0,0,11,0,PARTNER_RESCUED,1,2,0
