beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,9,9,TIMEOUT,0,11,2
0.05,0.05,0.5,10,0,TIMEOUT,0,2,1
0.05,0.05,0.5,10,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,10,2,PARTNER_RESCUED,1,4,0
0.05,0.05,0.5,10,3,TIMEOUT,0,5,2
0.05,0.05,0.5,10,4,TIMEOUT,0,6,0
0.05,0.05,0.5,10,5,TIMEOUT,0,7,1
0.05,0.05,0.5,10,6,TIMEOUT,0,8,0
0.05,0.05,0.5,10,7,TIMEOUT,0,9,1
0.05,0.05,0.5,10,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,10,9,PARTNER_RESCUED,1,11,0
0.05,0.05,0.5,11,0,TIMEOUT,0,2,0
0.05,0.05,0.5,11,1,TIMEOUT,0,3,2
0.05,0.05,0.5,11,2,RESOURCE_TAKEN,0,4,1
0.05,0.05,0.5,11,3,TIMEOUT,0,5,0
0.05,0.05,0.5,11,4,TIMEOUT,0,6,0
0.05,0.05,0.5,11,5,TIMEOUT,0,7,0
0.05,0.05,0.5,11,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,11,7,TIMEOUT,0,9,1
0.05,0.05,0.5,11,8,PARTNER_RESCUED,1,10,0
0.05,0.05,0.5,11,9,TIMEOUT,0,11,1
0.05,0.05,0.5,12,0,TIMEOUT,0,2,1
0.05,0.05,0.5,12,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,12,2,TIMEOUT,0,4,0
0.05,0.05,0.5,12,3,TIMEOUT,0,5,0
0.05,0.05,0.5,12,4,TIMEOUT,0,6,0
0.05,0.05,0.5,12,5,TIMEOUT,0,7,2
0.05,0.05,0.5,12,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,12,7,TIMEOUT,0,9,2
0.05,0.05,0.5,12,8,TIMEOUT,0,10,0
0.05,0.05,0.5,12,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,13,0,TIMEOUT,0,2,1
0.05,0.05,0.5,13,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,13,2,TIMEOUT,0,4,1
0.05,0.05,0.5,13,3,TIMEOUT,0,5,0
0.05,0.05,0.5,13,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,13,5,TIMEOUT,0,7,2
0.05,0.05,0.5,13,6,TIMEOUT,0,8,3
0.05,0.05,0.5,13,7,TIMEOUT,0,9,1
0.05,0.05,0.5,13,8,TIMEOUT,0,10,0
0.05,0.05,0.5,13,9,TIMEOUT,0,11,0
0.05,0.05,0.5,14,0,TIMEOUT,0,2,2
0.05,0.05,0.5,14,1,TIMEOUT,0,3,2
0.05,0.05,0.5,14,2,TIMEOUT,0,4,0
0.05,0.05,0.5,14,3,TIMEOUT,0,5,2
0.05,0.05,0.5,14,4,TIMEOUT,0,6,0
0.05,0.05,0.5,14,5,TIMEOUT,0,7,0
0.05,0.05,0.5,14,6,TIMEOUT,0,8,2
0.05,0.05,0.5,14,7,TIMEOUT,0,9,1
0.05,0.05,0.5,14,8,TIMEOUT,0,10,2
0.05,0.05,0.5,14,9,TIMEOUT,0,11,1
0.05,0.05,0.5,15,0,TIMEOUT,0,2,1
0.05,0.05,0.5,15,1,TIMEOUT,0,3,2
0.05,0.05,0.5,15,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,15,3,TIMEOUT,0,5,2
0.05,0.05,0.5,15,4,TIMEOUT,0,6,0
0.05,0.05,0.5,15,5,TIMEOUT,0,7,2
0.05,0.05,0.5,15,6,TIMEOUT,0,8,1
0.05,0.05,0.5,15,7,TIMEOUT,0,9,1
0.05,0.05,0.5,15,8,RESOURCE_TAKEN,0,10,2
0.05,0.05,0.5,15,9,TIMEOUT,0,11,0
0.05,0.05,0.5,16,0,TIMEOUT,0,2,1
0.05,0.05,0.5,16,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,16,2,PARTNER_RESCUED,1,4,0
0.05,0.05,0.5,16,3,TIMEOUT,0,5,1
0.05,0.05,0.5,16,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,16,5,TIMEOUT,0,7,1
0.05,0.05,0.5,16,6,TIMEOUT,0,8,1
0.05,0.05,0.5,16,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,0.5,16,8,PARTNER_RESCUED,1,10,0
0.05,0.05,0.5,16,9,PARTNER_RESCUED,1,11,0
0.05,0.05,0.5,17,0,TIMEOUT,0,2,1
0.05,0.05,0.5,17,1,TIMEOUT,0,3,0
0.05,0.05,0.5,17,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,17,3,PARTNER_RESCUED,1,5,0
0.05,0.05,0.5,17,4,TIMEOUT,0,6,2
0.05,0.05,0.5,17,5,TIMEOUT,0,7,0
0.05,0.05,0.5,17,6,TIMEOUT,0,8,1
0.05,0.05,0.5,17,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,0.5,17,8,TIMEOUT,0,10,0
0.05,0.05,0.5,17,9,TIMEOUT,0,11,1
0.05,0.05,0.5,18,0,TIMEOUT,0,2,1
0.05,0.05,0.5,18,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,18,2,PARTNER_RESCUED,1,4,0
0.05,0.05,0.5,18,3,TIMEOUT,0,5,0
0.05,0.05,0.5,18,4,TIMEOUT,0,6,0
0.05,0.05,0.5,18,5,TIMEOUT,0,7,1
0.05,0.05,0.5,18,6,TIMEOUT,0,8,0
0.05,0.05,0.5,18,7,TIMEOUT,0,9,1
0.05,0.05,0.5,18,8,TIMEOUT,0,10,0
0.05,0.05,0.5,18,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,19,0,TIMEOUT,0,2,1
0.05,0.05,0.5,19,1,TIMEOUT,0,3,0
0.05,0.05,0.5,19,2,RESOURCE_TAKEN,0,4,1
0.05,0.05,0.5,19,3,TIMEOUT,0,5,1
0.05,0.05,0.5,19,4,TIMEOUT,0,6,1
0.05,0.05,0.5,19,5,TIMEOUT,0,7,0
0.05,0.05,0.5,19,6,TIMEOUT,0,8,0
0.05,0.05,0.5,19,7,TIMEOUT,0,9,1
0.05,0.05,0.5,19,8,TIMEOUT,0,10,2
0.05,0.05,0.5,19,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,0.5,20,0,TIMEOUT,0,2,2
0.05,0.05,0.5,20,1,TIMEOUT,0,3,2
0.05,0.05,0.5,20,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,20,3,TIMEOUT,0,5,1
0.05,0.05,0.5,20,4,TIMEOUT,0,6,0
0.05,0.05,0.5,20,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,20,6,TIMEOUT,0,8,0
0.05,0.05,0.5,20,7,TIMEOUT,0,9,0
0.05,0.05,0.5,20,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,20,9,TIMEOUT,0,11,0
0.05,0.05,0.5,21,0,TIMEOUT,0,2,0
0.05,0.05,0.5,21,1,TIMEOUT,0,3,0
0.05,0.05,0.5,21,2,TIMEOUT,0,4,3
0.05,0.05,0.5,21,3,TIMEOUT,0,5,0
