beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,1,TIMEOUT,TIMEOUT,9,6,failure,48,0.85,0.072468951784162,0.0426287951671541,0.3,0.2,0.0,0.6150977469513161,guilt
0.05,0.05,0.5,1,TIMEOUT,TIMEOUT,9,7,timeout,36,0.5,0.0631116859152907,0.04733376443646804,0.2,0.2,0.0,0.5104454503517588,guilt
0.05,0.05,0.5,1,TIMEOUT,TIMEOUT,9,8,timeout,24,0.5,0.11679560973550897,0.08759670730163172,0.2,0.2,0.0,0.6043923170371407,guilt
0.05,0.05,0.5,1,TIMEOUT,TIMEOUT,9,9,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,0.5,1,TIMEOUT,TIMEOUT,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,0,seed,73,0.9,0.04594218181524295,0.030628121210161965,0.2,0.1,0.0,0.37657030302540495,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,1,timeout,46,0.5,0.03778729765509504,0.028340473241321294,0.2,0.2,0.0,0.4661277708964163,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,2,timeout,34,0.5,0.0699298458895188,0.05244738441713911,0.2,0.2,0.0,0.5223772303066578,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,3,failure,24,0.85,0.24819067068795655,0.14599451216938614,0.3,0.2,0.0,0.8941851828573426,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,4,timeout,12,0.5,0.21614403506505467,0.162108026298791,0.2,0.2,0.0,0.7782520613638457,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,0,seed,123,0.9,0.003535020043932128,0.0023566800292880853,0.2,0.1,0.0,0.3058917000732202,guilt
0.05,0.05,0.5,2,TIMEOUT,TIMEOUT,9,1,timeout,96,0.5,0.002907542683845088,0.0021806570128838168,0.2,0.2,0.0,0.40508819969672893,guilt
