kappa,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.1,0.0,10,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,10,9,TIMEOUT,0,11,1
0.1,0.0,11,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,11,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,11,2,TIMEOUT,0,4,2
0.1,0.0,11,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,11,4,TIMEOUT,0,6,1
0.1,0.0,11,5,TIMEOUT,0,7,0
0.1,0.0,11,6,TIMEOUT,0,8,1
0.1,0.0,11,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,11,8,TIMEOUT,0,10,0
0.1,0.0,11,9,TIMEOUT,0,11,2
0.1,0.0,12,0,TIMEOUT,0,2,1
0.1,0.0,12,1,TIMEOUT,0,3,2
0.1,0.0,12,2,TIMEOUT,0,4,0
0.1,0.0,12,3,TIMEOUT,0,5,0
0.1,0.0,12,4,TIMEOUT,0,6,0
0.1,0.0,12,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,12,6,TIMEOUT,0,8,0
0.1,0.0,12,7,RESOURCE_TAKEN,0,9,1
0.1,0.0,12,8,TIMEOUT,0,10,0
0.1,0.0,12,9,TIMEOUT,0,11,0
0.1,0.0,13,0,TIMEOUT,0,2,0
0.1,0.0,13,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,13,2,TIMEOUT,0,4,1
0.1,0.0,13,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,13,4,TIMEOUT,0,6,0
0.1,0.0,13,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,13,6,TIMEOUT,0,8,1
0.1,0.0,13,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,13,8,TIMEOUT,0,10,2
0.1,0.0,13,9,RESOURCE_TAKEN,0,11,1
0.1,0.0,14,0,TIMEOUT,0,2,0
0.1,0.0,14,1,TIMEOUT,0,3,2
0.1,0.0,14,2,TIMEOUT,0,4,1
0.1,0.0,14,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,14,4,TIMEOUT,0,6,0
0.1,0.0,14,5,TIMEOUT,0,7,0
0.1,0.0,14,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,14,7,TIMEOUT,0,9,0
0.1,0.0,14,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,14,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,15,0,TIMEOUT,0,2,2
0.1,0.0,15,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,15,2,TIMEOUT,0,4,1
0.1,0.0,15,3,TIMEOUT,0,5,0
0.1,0.0,15,4,TIMEOUT,0,6,1
0.1,0.0,15,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,15,6,TIMEOUT,0,8,0
0.1,0.0,15,7,TIMEOUT,0,9,1
0.1,0.0,15,8,TIMEOUT,0,10,0
0.1,0.0,15,9,TIMEOUT,0,11,0
0.1,0.0,16,0,TIMEOUT,0,2,0
0.1,0.0,16,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,16,2,TIMEOUT,0,4,2
0.1,0.0,16,3,TIMEOUT,0,5,0
0.1,0.0,16,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,16,5,TIMEOUT,0,7,0
0.1,0.0,16,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,16,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,16,8,TIMEOUT,0,10,1
0.1,0.0,16,9,TIMEOUT,0,11,1
0.1,0.0,17,0,TIMEOUT,0,2,2
0.1,0.0,17,1,TIMEOUT,0,3,1
0.1,0.0,17,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,17,3,TIMEOUT,0,5,1
0.1,0.0,17,4,TIMEOUT,0,6,0
0.1,0.0,17,5,TIMEOUT,0,7,0
0.1,0.0,17,6,TIMEOUT,0,8,0
0.1,0.0,17,7,TIMEOUT,0,9,0
0.1,0.0,17,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,17,9,TIMEOUT,0,11,0
0.1,0.0,18,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,18,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,18,2,TIMEOUT,0,4,3
0.1,0.0,18,3,TIMEOUT,0,5,1
0.1,0.0,18,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,18,5,TIMEOUT,0,7,2
0.1,0.0,18,6,TIMEOUT,0,8,0
0.1,0.0,18,7,TIMEOUT,0,9,1
0.1,0.0,18,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,18,9,TIMEOUT,0,11,0
0.1,0.0,19,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,19,1,TIMEOUT,0,3,1
0.1,0.0,19,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,19,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,19,4,TIMEOUT,0,6,0
0.1,0.0,19,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,19,6,TIMEOUT,0,8,2
0.1,0.0,19,7,TIMEOUT,0,9,1
0.1,0.0,19,8,TIMEOUT,0,10,1
0.1,0.0,19,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,20,0,TIMEOUT,0,2,2
0.1,0.0,20,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,20,2,TIMEOUT,0,4,0
0.1,0.0,20,3,RESOURCE_TAKEN,0,5,1
0.1,0.0,20,4,TIMEOUT,0,6,2
0.1,0.0,20,5,TIMEOUT,0,7,0
0.1,0.0,20,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,20,7,TIMEOUT,0,9,0
0.1,0.0,20,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,20,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,21,0,TIMEOUT,0,2,1
0.1,0.0,21,1,RESOURCE_TAKEN,0,3,1
0.1,0.0,21,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,21,3,TIMEOUT,0,5,0
0.1,0.0,21,4,TIMEOUT,0,6,2
0.1,0.0,21,5,TIMEOUT,0,7,0
0.1,0.0,21,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,21,7,TIMEOUT,0,9,0
0.1,0.0,21,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,21,9,RESOURCE_TAKEN,0,11,2
0.1,0.0,22,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,22,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,22,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,22,3,TIMEOUT,0,5,2
0.1,0.0,22,4,TIMEOUT,0,6,2
0.1,0.0,22,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,22,6,TIMEOUT,0,8,2
0.1,0.0,22,7,TIMEOUT,0,9,0
0.1,0.0,22,8,TIMEOUT,0,10,0
0.1,0.0,22,9,TIMEOUT,0,11,0
0.1,0.0,23,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,23,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,23,2,RESOURCE_TAKEN,0,4,0
0.1,0.0,23,3,RESOURCE_TAKEN,0,5,1
0.1,0.0,23,4,TIMEOUT,0,6,0
0.1,0.0,23,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,23,6,TIMEOUT,0,8,1
0.1,0.0,23,7,RESOURCE_TAKEN,0,9,1
0.1,0.0,23,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,23,9,RESOURCE_TAKEN,0,11,0
0.1,0.0,24,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,24,1,TIMEOUT,0,3,0
0.1,0.0,24,2,TIMEOUT,0,4,0
0.1,0.0,24,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,24,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,24,5,TIMEOUT,0,7,1
0.1,0.0,24,6,TIMEOUT,0,8,0
